Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
Toledo,Holliday Reese,160,0.606,55.9%,46.9%,58.7%,38.6%,18.1%,37.9%,18.2%,35.0%,41.1%,100.0%,66.2%,71.7%,
Toledo,Dear Delino,58,0.675,70.7%,79.3%,80.4%,86.5%,20.7%,33.3%,25.0%,0.0%,---,---,87.9%,56.9%,
Toledo,Majerle Ryan,53,0.489,41.5%,13.2%,14.3%,100.0%,11.3%,50.0%,100.0%,75.5%,30.0%,100.0%,45.3%,79.2%,
Toledo,Wonnell Richard,24,0.562,54.2%,79.2%,63.2%,41.7%,20.8%,20.0%,0.0%,0.0%,---,---,62.5%,60.0%,
Toledo,Mathew Aj,20,0.397,37.5%,15.0%,0.0%,---,45.0%,33.3%,66.7%,40.0%,37.5%,66.7%,15.0%,66.7%,
Toledo,Ewing James,5,0.336,40.0%,100.0%,40.0%,0.0%,0.0%,---,---,0.0%,---,---,40.0%,0.0%,
Toledo,Riddle Zack,5,0.514,20.0%,40.0%,0.0%,---,60.0%,33.3%,0.0%,0.0%,---,---,240.0%,75.0%,
Toledo,LONEYDAN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,Total,1916,0.551,51.1%,34.0%,63.0%,50.1%,35.2%,36.1%,32.1%,30.8%,36.8%,85.3%,39.0%,72.6%,
Indiana,Watford Christian,339,0.555,49.3%,29.8%,53.5%,51.9%,35.1%,29.4%,20.0%,35.1%,43.7%,90.4%,43.1%,81.5%,
Indiana,Zeller Cody,321,0.665,62.3%,71.7%,70.9%,61.3%,28.3%,40.7%,43.2%,0.0%,---,---,67.3%,75.5%,
Indiana,Oladipo Victor,289,0.546,48.8%,61.2%,59.9%,41.5%,22.1%,31.2%,15.0%,16.6%,20.8%,90.0%,49.8%,75.0%,
Indiana,Hulls Jordan,284,0.663,63.0%,11.6%,57.6%,10.5%,37.0%,49.5%,13.5%,51.4%,49.3%,54.2%,24.3%,89.9%,
Indiana,Sheehey Will,198,0.578,55.1%,37.4%,64.9%,50.0%,38.9%,44.2%,44.1%,23.7%,38.3%,94.4%,35.9%,70.4%,
Indiana,Jones III Verdell,172,0.520,44.8%,34.3%,59.3%,25.7%,46.5%,33.8%,7.4%,19.2%,30.3%,90.0%,54.1%,76.3%,
Indiana,Elston Derek,107,0.576,57.0%,29.0%,61.3%,63.2%,43.9%,38.3%,72.2%,27.1%,55.2%,100.0%,35.5%,57.9%,
Indiana,Roth Matt,82,0.813,79.3%,0.0%,---,---,6.1%,40.0%,0.0%,93.9%,54.5%,95.2%,18.3%,100.0%,
Indiana,Abell Remy,63,0.573,49.2%,36.5%,34.8%,12.5%,39.7%,56.0%,35.7%,23.8%,40.0%,100.0%,66.7%,78.6%,
Indiana,Pritchard Tom,40,0.542,55.0%,82.5%,60.6%,50.0%,15.0%,33.3%,50.0%,2.5%,0.0%,---,22.5%,44.4%,
Indiana,Etherington Austin,16,0.544,50.0%,43.8%,71.4%,20.0%,6.2%,0.0%,---,50.0%,25.0%,100.0%,31.2%,80.0%,
Indiana,Barnett Kory,6,0.504,58.3%,16.7%,100.0%,0.0%,16.7%,100.0%,100.0%,66.7%,25.0%,100.0%,33.3%,0.0%,
Indiana,Moore Daniel,5,0.156,0.0%,60.0%,0.0%,---,0.0%,---,---,40.0%,0.0%,---,60.0%,66.7%,
Indiana,Smith Raphael,3,0.253,0.0%,33.3%,0.0%,---,33.3%,0.0%,---,33.3%,0.0%,---,66.7%,100.0%,
Indiana,Howard Jeff,2,0.000,0.0%,100.0%,0.0%,---,0.0%,---,---,0.0%,---,---,100.0%,0.0%,
Indiana,Wayer Taylor,1,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,0.0%,---,
Indiana,Total,1928,0.596,55.2%,40.2%,61.7%,48.3%,32.3%,38.9%,28.9%,27.5%,43.1%,81.2%,44.5%,76.4%,
North Carolina St.,Brown Lorenzo,367,0.533,48.6%,39.2%,56.9%,35.4%,39.8%,38.4%,19.6%,21.0%,35.1%,81.5%,42.2%,72.9%,
North Carolina St.,Leslie C.J.,366,0.549,53.0%,56.3%,71.8%,52.0%,39.9%,27.4%,22.5%,3.8%,28.6%,100.0%,51.4%,59.6%,
North Carolina St.,Howell Richard,323,0.519,48.9%,61.0%,61.9%,48.4%,38.4%,29.0%,41.7%,0.6%,0.0%,---,40.9%,63.6%,
North Carolina St.,Williams C.J.,316,0.575,55.4%,33.9%,70.1%,65.3%,34.8%,44.5%,65.3%,31.3%,34.3%,97.1%,16.5%,80.8%,
North Carolina St.,Wood Scott,310,0.628,57.9%,7.1%,72.7%,81.2%,18.1%,37.5%,81.0%,74.8%,40.9%,96.8%,31.3%,90.7%,
North Carolina St.,Painter DeShawn,201,0.479,42.3%,30.8%,59.7%,59.5%,68.7%,34.8%,75.0%,0.5%,0.0%,---,42.3%,71.8%,
North Carolina St.,Johnson Alex,151,0.474,43.4%,19.2%,51.7%,26.7%,16.6%,28.0%,14.3%,64.2%,29.9%,100.0%,27.8%,73.8%,
North Carolina St.,Harris Tyler,37,0.419,37.8%,45.9%,52.9%,55.6%,40.5%,13.3%,50.0%,13.5%,40.0%,50.0%,27.0%,70.0%,
North Carolina St.,de Thaey Thomas,24,0.309,27.1%,41.7%,50.0%,80.0%,20.8%,0.0%,---,37.5%,11.1%,100.0%,16.7%,75.0%,
North Carolina St.,Raymond Jaqawn,10,0.450,45.0%,0.0%,---,---,0.0%,---,---,100.0%,30.0%,66.7%,0.0%,---,
North Carolina St.,DE,9,0.389,38.9%,55.6%,40.0%,0.0%,0.0%,---,---,44.4%,25.0%,100.0%,0.0%,---,
North Carolina St.,Vandenberg Jordan,8,0.826,87.5%,87.5%,85.7%,66.7%,12.5%,100.0%,100.0%,0.0%,---,---,12.5%,0.0%,
North Carolina St.,Battle Staats,7,0.377,42.9%,0.0%,---,---,0.0%,---,---,100.0%,28.6%,100.0%,28.6%,0.0%,
North Carolina St.,Smith Kendall,4,0.584,50.0%,75.0%,66.7%,50.0%,25.0%,0.0%,---,0.0%,---,---,150.0%,66.7%,
North Carolina St.,Johnson Patrick,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
North Carolina St.,Lewis Jay,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
North Carolina St.,Total,2134,0.539,50.4%,37.9%,64.2%,51.4%,36.0%,33.9%,47.3%,26.1%,35.5%,94.4%,36.3%,70.4%,
Brown,McGonagill Sean,349,0.484,43.8%,26.4%,44.6%,31.7%,28.4%,28.3%,14.3%,45.3%,35.4%,73.2%,32.4%,74.3%,
Brown,Albrecht Stephen,287,0.473,46.3%,10.1%,55.2%,43.8%,32.4%,29.0%,18.5%,57.5%,36.4%,86.7%,11.1%,62.5%,
Brown,Sullivan Matt,257,0.522,49.0%,19.1%,42.9%,81.0%,24.5%,33.3%,23.8%,56.4%,38.6%,87.5%,27.2%,72.9%,
Brown,McCarthy Andrew,220,0.542,53.0%,57.3%,64.3%,69.1%,38.6%,40.0%,70.6%,4.1%,11.1%,100.0%,45.5%,57.0%,
Brown,Harris Jean,176,0.560,54.8%,5.7%,80.0%,37.5%,29.0%,41.2%,14.3%,65.3%,39.1%,82.2%,7.4%,84.6%,
Brown,Walker Dockery,144,0.483,47.6%,66.0%,55.8%,49.1%,33.3%,29.2%,57.1%,0.7%,100.0%,100.0%,20.8%,53.3%,
Brown,Ponticelli Tyler,98,0.532,52.0%,71.4%,57.1%,55.0%,28.6%,39.3%,36.4%,0.0%,---,---,56.1%,54.5%,
Brown,Lundevall Tellef,58,0.345,32.8%,12.1%,28.6%,100.0%,36.2%,23.8%,0.0%,51.7%,26.7%,87.5%,10.3%,66.7%,
Brown,Schmidt Jon,33,0.310,27.3%,72.7%,29.2%,71.4%,27.3%,22.2%,100.0%,0.0%,---,---,36.4%,50.0%,
Brown,Gore Christian,27,0.428,40.7%,22.2%,33.3%,100.0%,25.9%,0.0%,---,51.9%,42.9%,66.7%,63.0%,47.1%,
Brown,Biber Josh,24,0.415,37.5%,75.0%,38.9%,71.4%,25.0%,33.3%,50.0%,0.0%,---,---,75.0%,50.0%,
Brown,Yiljep Lonji,11,0.591,68.2%,45.5%,60.0%,100.0%,36.4%,75.0%,66.7%,18.2%,50.0%,100.0%,145.5%,43.8%,
Brown,Donnelly Patrick,11,0.182,18.2%,0.0%,---,---,27.3%,66.7%,0.0%,72.7%,0.0%,---,0.0%,---,
Brown,Total,1695,0.496,47.3%,31.3%,52.9%,57.3%,30.5%,32.9%,34.1%,38.2%,36.2%,82.5%,28.4%,62.9%,
Wright St.,Mays Julius,297,0.580,51.2%,18.9%,55.4%,22.6%,41.4%,37.4%,17.4%,39.7%,42.4%,62.0%,48.1%,83.2%,
Wright St.,Arceneaux Reggie,261,0.469,43.9%,21.1%,45.5%,16.0%,40.2%,35.2%,16.2%,38.7%,34.7%,91.4%,23.4%,70.5%,
Wright St.,Darling Cole,175,0.473,43.4%,36.6%,62.5%,45.0%,34.3%,25.0%,60.0%,29.1%,27.5%,92.9%,30.9%,70.4%,
Wright St.,Battle Armond,171,0.466,42.4%,20.5%,68.6%,50.0%,39.8%,29.4%,50.0%,39.8%,27.9%,100.0%,60.2%,58.3%,
Wright St.,Pacher Aj,153,0.495,46.4%,29.4%,62.2%,21.4%,43.1%,37.9%,28.0%,27.5%,28.6%,100.0%,30.1%,67.4%,
Wright St.,Balwigaire John,124,0.493,46.8%,12.9%,50.0%,50.0%,32.3%,35.0%,35.7%,54.8%,35.3%,91.7%,18.5%,73.9%,
Wright St.,Mpondo Johann,110,0.495,44.5%,30.0%,72.7%,66.7%,68.2%,33.3%,48.0%,1.8%,0.0%,---,42.7%,70.2%,
Wright St.,Sledge Tavares,94,0.428,40.4%,48.9%,50.0%,73.9%,51.1%,31.2%,46.7%,0.0%,---,---,40.4%,52.6%,
Wright St.,Hall Vance,90,0.626,58.3%,23.3%,66.7%,21.4%,16.7%,26.7%,25.0%,60.0%,42.6%,100.0%,40.0%,80.6%,
Wright St.,Griffin Kendall,40,0.472,41.2%,22.5%,44.4%,0.0%,27.5%,18.2%,50.0%,50.0%,35.0%,100.0%,62.5%,64.0%,
Wright St.,Vest Matt,39,0.470,41.0%,20.5%,75.0%,16.7%,33.3%,30.8%,0.0%,46.2%,22.2%,100.0%,30.8%,83.3%,
Wright St.,Cuffee Jason,11,0.251,22.7%,27.3%,0.0%,---,27.3%,33.3%,100.0%,45.5%,20.0%,100.0%,18.2%,50.0%,
Wright St.,Thomas Ulysses,3,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,66.7%,0.0%,
Wright St.,Gossard Stephen,1,0.769,100.0%,100.0%,100.0%,0.0%,0.0%,---,---,0.0%,---,---,200.0%,50.0%,
Wright St.,Total,1569,0.502,45.9%,25.0%,58.2%,38.6%,40.0%,33.2%,32.2%,35.1%,34.4%,86.8%,37.9%,70.4%,
UC Irvine,Starring Daman,318,0.511,47.3%,21.4%,51.5%,34.3%,39.3%,33.6%,21.4%,39.3%,39.2%,89.8%,26.1%,77.1%,
UC Irvine,McNealy Chris,288,0.509,47.7%,17.7%,58.8%,20.0%,44.8%,31.0%,42.5%,37.5%,41.7%,93.3%,22.9%,75.8%,
UC Irvine,Wilder Michael,264,0.598,56.8%,14.8%,61.5%,50.0%,8.7%,39.1%,11.1%,76.5%,38.6%,85.9%,34.1%,74.4%,
UC Irvine,Davis II Will,200,0.536,52.5%,55.5%,64.0%,73.2%,44.5%,38.2%,61.8%,0.0%,---,---,28.0%,58.9%,
UC Irvine,Flowers Derick,199,0.520,45.7%,31.2%,50.0%,16.1%,23.1%,26.1%,41.7%,45.7%,35.2%,75.0%,43.7%,78.2%,
UC Irvine,Folker Adam,199,0.520,56.3%,65.3%,66.2%,79.1%,34.7%,37.7%,50.0%,0.0%,---,---,55.8%,34.2%,
UC Irvine,Best Mike,134,0.463,45.5%,15.7%,71.4%,80.0%,61.2%,41.5%,82.4%,23.1%,25.8%,100.0%,8.2%,63.6%,
UC Irvine,Woods Collin,124,0.373,35.1%,13.7%,41.2%,42.9%,20.2%,32.0%,12.5%,66.1%,23.2%,94.7%,21.8%,55.6%,
UC Irvine,Souza Travis,58,0.460,43.1%,8.6%,40.0%,50.0%,13.8%,25.0%,0.0%,77.6%,31.1%,92.9%,22.4%,69.2%,
UC Irvine,Wright Aaron,49,0.450,37.8%,46.9%,39.1%,0.0%,22.4%,18.2%,0.0%,30.6%,33.3%,100.0%,85.7%,59.5%,
UC Irvine,Bradley Marcus,28,0.243,25.0%,17.9%,40.0%,100.0%,78.6%,22.7%,80.0%,3.6%,0.0%,---,21.4%,16.7%,
UC Irvine,Total,1861,0.509,48.4%,28.6%,58.6%,55.4%,33.8%,34.0%,46.3%,37.6%,35.7%,88.4%,31.8%,63.7%,
Furman,Reddick Charlie,246,0.546,52.2%,13.4%,75.8%,36.0%,26.0%,28.1%,27.8%,60.6%,38.3%,91.2%,26.8%,69.7%,
Furman,Irwin Bryant,228,0.484,46.3%,16.7%,63.2%,33.3%,21.9%,22.0%,36.4%,61.4%,33.6%,91.5%,16.7%,71.1%,
Furman,Sebirumbi Brandon,206,0.586,52.9%,33.5%,66.7%,45.7%,66.5%,46.0%,46.0%,0.0%,---,---,89.3%,68.5%,
Furman,Austin Bobby,183,0.552,51.9%,10.9%,70.0%,14.3%,36.6%,40.3%,7.4%,52.5%,37.5%,97.2%,23.0%,81.0%,
Furman,Loyd Jordan,146,0.465,41.8%,30.8%,53.3%,20.8%,32.9%,33.3%,0.0%,36.3%,26.4%,78.6%,39.0%,68.4%,
Furman,Brown Richard,138,0.560,49.3%,30.4%,54.8%,8.7%,42.0%,46.6%,0.0%,27.5%,31.6%,91.7%,42.8%,84.7%,
Furman,Barnes Bryson,118,0.539,50.0%,33.1%,64.1%,40.0%,33.9%,40.0%,31.2%,33.1%,30.8%,100.0%,49.2%,67.2%,
Furman,Reddick Colin,109,0.494,45.0%,37.6%,53.7%,40.9%,62.4%,39.7%,29.6%,0.0%,---,---,35.8%,71.8%,
Furman,Early Dominic,104,0.418,39.4%,12.5%,69.2%,33.3%,23.1%,20.8%,20.0%,64.4%,26.9%,83.3%,17.3%,66.7%,
Furman,Toler Chris,99,0.410,37.4%,26.3%,57.7%,53.3%,73.7%,30.1%,63.6%,0.0%,---,---,28.3%,64.3%,
Furman,Brown David,66,0.530,47.7%,18.2%,58.3%,0.0%,24.2%,31.2%,0.0%,57.6%,34.2%,100.0%,24.2%,93.8%,
Furman,O'Neill Aaron,3,0.500,50.0%,0.0%,---,---,0.0%,---,---,100.0%,33.3%,100.0%,0.0%,---,
Furman,Hunt Tyler,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,0.0%,
Furman,Total,1646,0.518,47.8%,23.0%,61.9%,32.9%,39.2%,36.7%,28.7%,37.8%,33.7%,91.9%,36.9%,71.4%,
Southeast Mo. St.,Stone Tyler,364,0.554,54.1%,37.1%,72.6%,65.3%,56.6%,42.2%,51.7%,6.3%,34.8%,75.0%,27.5%,62.0%,
Southeast Mo. St.,Smith Marland,283,0.582,54.6%,21.2%,63.3%,39.5%,23.0%,33.8%,40.9%,55.8%,39.9%,96.8%,32.2%,78.0%,
Southeast Mo. St.,Niemczyk Nick,215,0.532,51.2%,6.5%,57.1%,12.5%,35.3%,43.4%,48.5%,58.1%,36.8%,89.1%,10.2%,90.9%,
Southeast Mo. St.,Powell Leon,213,0.576,59.2%,78.9%,66.7%,51.8%,21.1%,31.1%,71.4%,0.0%,---,---,63.4%,49.6%,
Southeast Mo. St.,Brister Marcus,175,0.499,50.3%,69.7%,59.8%,20.5%,29.7%,28.8%,0.0%,0.6%,0.0%,---,44.0%,45.5%,
Southeast Mo. St.,Wilford Corey,152,0.528,50.7%,15.8%,70.8%,47.1%,27.0%,29.3%,33.3%,57.2%,36.8%,87.5%,13.8%,81.0%,
Southeast Mo. St.,Nutt Lucas,120,0.530,44.2%,29.2%,45.7%,6.2%,11.7%,28.6%,0.0%,59.2%,31.0%,86.4%,50.8%,85.2%,
Southeast Mo. St.,Porter Michael,96,0.589,56.8%,63.5%,67.2%,58.5%,26.0%,36.0%,66.7%,10.4%,30.0%,100.0%,40.6%,66.7%,
Southeast Mo. St.,Wilkerson Telvin,38,0.368,36.8%,15.8%,33.3%,0.0%,52.6%,15.0%,33.3%,31.6%,50.0%,100.0%,7.9%,33.3%,
Southeast Mo. St.,Johnson Nino,34,0.592,58.8%,64.7%,77.3%,58.8%,35.3%,25.0%,66.7%,0.0%,---,---,82.4%,57.1%,
Southeast Mo. St.,Nutt Logan,19,0.426,39.5%,42.1%,75.0%,33.3%,42.1%,0.0%,---,15.8%,33.3%,100.0%,36.8%,57.1%,
Southeast Mo. St.,House Zach,12,0.521,58.3%,66.7%,87.5%,71.4%,33.3%,0.0%,---,0.0%,---,---,25.0%,0.0%,
Southeast Mo. St.,Jones Waylon,3,0.372,33.3%,66.7%,50.0%,0.0%,33.3%,0.0%,---,0.0%,---,---,166.7%,40.0%,
Southeast Mo. St.,Total,1724,0.547,52.8%,38.6%,65.6%,46.6%,33.0%,35.5%,46.0%,28.4%,36.9%,91.2%,34.3%,63.0%,
UAB,Moore Cameron,404,0.515,48.9%,44.8%,66.3%,62.5%,49.5%,35.0%,44.3%,5.7%,21.7%,100.0%,41.6%,61.3%,
UAB,Swing Jordan,249,0.542,48.6%,16.1%,60.0%,20.8%,34.1%,29.4%,36.0%,49.8%,38.7%,77.1%,33.7%,84.5%,
UAB,Purifoy Preston,203,0.590,55.9%,15.3%,54.8%,64.7%,12.3%,56.0%,42.9%,72.4%,37.4%,94.5%,24.1%,81.6%,
UAB,Soko Ovie,201,0.500,47.0%,60.7%,60.7%,41.9%,36.3%,26.0%,31.6%,3.0%,16.7%,0.0%,50.2%,59.4%,
UAB,Taylor Quincy,158,0.514,49.1%,31.0%,49.0%,0.0%,19.6%,41.9%,7.7%,49.4%,34.6%,77.8%,30.4%,64.6%,
UAB,Tyler Jekore,134,0.426,38.1%,34.3%,50.0%,13.0%,43.3%,27.6%,31.2%,22.4%,26.7%,62.5%,36.6%,65.3%,
UAB,Whitaker K.C.,103,0.369,32.0%,3.9%,50.0%,50.0%,16.5%,5.9%,0.0%,79.6%,24.4%,100.0%,22.3%,78.3%,
UAB,Williams Robert,84,0.563,50.6%,41.7%,42.9%,33.3%,22.6%,26.3%,20.0%,35.7%,50.0%,93.3%,45.2%,78.9%,
UAB,Harrison Herb,14,0.643,64.3%,28.6%,75.0%,66.7%,71.4%,60.0%,83.3%,0.0%,---,---,0.0%,---,
UAB,Hamga Beas,5,0.400,40.0%,60.0%,33.3%,100.0%,40.0%,50.0%,100.0%,0.0%,---,---,0.0%,---,
UAB,Scotland-Williamson Alexander,4,0.511,50.0%,75.0%,66.7%,50.0%,25.0%,0.0%,---,0.0%,---,---,150.0%,50.0%,
UAB,YOUNGPATRIC,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UAB,YEGUETEWILL,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UAB,Total,1559,0.513,47.7%,33.2%,58.9%,44.3%,33.4%,32.6%,38.2%,33.4%,34.4%,86.0%,36.3%,68.6%,
Tulane,Tarrant Ricky,329,0.567,50.5%,32.5%,62.6%,20.9%,21.6%,29.6%,4.8%,45.9%,34.4%,75.0%,50.8%,78.4%,
Tulane,Callahan Jordan,323,0.502,46.6%,20.7%,37.3%,56.0%,30.3%,43.9%,25.6%,48.9%,34.8%,92.7%,26.6%,74.4%,
Tulane,Davis Josh,312,0.460,43.6%,56.4%,53.4%,44.7%,34.9%,24.8%,33.3%,8.7%,37.0%,100.0%,44.2%,54.3%,
Tulane,Timmons Kendall,163,0.542,49.4%,54.6%,58.4%,38.5%,33.7%,27.3%,26.7%,11.7%,47.4%,88.9%,47.9%,71.8%,
Tulane,Hook Jay,90,0.443,40.6%,17.8%,37.5%,33.3%,6.7%,33.3%,50.0%,75.6%,27.9%,94.7%,16.7%,86.7%,
Tulane,Rogers Trent,84,0.527,50.0%,26.2%,50.0%,18.2%,14.3%,33.3%,25.0%,59.5%,36.0%,100.0%,56.0%,59.6%,
Tulane,Drye Tre,81,0.518,52.5%,76.5%,58.1%,80.6%,22.2%,27.8%,80.0%,1.2%,100.0%,100.0%,60.5%,46.9%,
Tulane,Thomas Kevin,59,0.551,57.6%,71.2%,64.3%,63.0%,28.8%,41.2%,71.4%,0.0%,---,---,35.6%,38.1%,
Tulane,Nwogbo Lotanna,48,0.559,57.3%,66.7%,62.5%,70.0%,29.2%,42.9%,83.3%,4.2%,50.0%,0.0%,25.0%,41.7%,
Tulane,Bruha Tomas,42,0.631,57.1%,76.2%,71.9%,56.5%,23.8%,10.0%,0.0%,0.0%,---,---,47.6%,85.0%,
Tulane,Cherry Ben,38,0.490,44.7%,7.9%,33.3%,0.0%,15.8%,16.7%,0.0%,76.3%,34.5%,100.0%,21.1%,87.5%,
Tulane,Ziegenhagen Malte,37,0.422,41.9%,5.4%,50.0%,0.0%,5.4%,50.0%,0.0%,89.2%,27.3%,88.9%,5.4%,50.0%,
Tulane,Fiorentinos Grant,20,0.429,45.0%,60.0%,58.3%,85.7%,35.0%,28.6%,50.0%,5.0%,0.0%,---,35.0%,28.6%,
Tulane,Monckton Dan,15,0.304,26.7%,26.7%,25.0%,100.0%,26.7%,75.0%,66.7%,46.7%,0.0%,---,20.0%,66.7%,
Tulane,Total,1641,0.513,47.8%,40.6%,55.7%,46.9%,26.1%,32.2%,31.9%,33.3%,33.7%,88.6%,39.8%,66.2%,
FIU,Allen Jeremy,330,0.530,47.6%,27.0%,56.2%,28.0%,30.9%,28.4%,24.1%,42.1%,37.4%,86.5%,32.4%,84.1%,
FIU,Taylor Phil,307,0.541,48.9%,18.9%,43.1%,32.0%,30.3%,34.4%,9.4%,50.8%,39.7%,53.2%,37.8%,79.3%,
FIU,Wright DeJuan,252,0.580,52.8%,61.5%,56.1%,39.1%,18.3%,34.8%,25.0%,20.2%,39.2%,75.0%,54.4%,74.5%,
FIU,Ferguson Dominique,222,0.453,43.5%,60.4%,57.5%,44.2%,30.2%,26.9%,11.1%,9.5%,4.8%,100.0%,54.1%,50.0%,
FIU,Bell Cameron,90,0.509,42.8%,61.1%,50.9%,28.6%,14.4%,23.1%,66.7%,24.4%,22.7%,80.0%,37.8%,91.2%,
FIU,Dierickx Gilles,70,0.508,48.6%,38.6%,44.4%,41.7%,61.4%,51.2%,59.1%,0.0%,---,---,14.3%,80.0%,
FIU,Moore Brandon,63,0.493,46.0%,49.2%,54.8%,29.4%,47.6%,40.0%,58.3%,3.2%,0.0%,---,30.2%,68.4%,
FIU,Hill Deric,47,0.410,39.4%,70.2%,39.4%,15.4%,17.0%,50.0%,0.0%,12.8%,16.7%,0.0%,19.1%,55.6%,
FIU,Akomolafe Tola,37,0.527,47.3%,70.3%,61.5%,56.2%,13.5%,0.0%,---,16.2%,16.7%,100.0%,32.4%,83.3%,
FIU,Wozniak Tanner,34,0.343,33.8%,2.9%,0.0%,---,17.6%,66.7%,0.0%,79.4%,18.5%,100.0%,5.9%,50.0%,
FIU,DE,21,0.369,28.6%,38.1%,50.0%,100.0%,61.9%,15.4%,50.0%,0.0%,---,---,47.6%,70.0%,
FIU,Nunez Manuel,15,0.125,13.3%,40.0%,33.3%,50.0%,13.3%,0.0%,---,46.7%,0.0%,---,13.3%,0.0%,
FIU,Pack Richaud,15,0.408,36.7%,53.3%,50.0%,25.0%,13.3%,0.0%,---,33.3%,20.0%,100.0%,13.3%,100.0%,
FIU,Miro Steven,11,0.574,54.5%,18.2%,100.0%,0.0%,36.4%,25.0%,100.0%,45.5%,40.0%,50.0%,72.7%,62.5%,
FIU,TALLEYBRIAN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
FIU,Total,1514,0.512,46.6%,41.8%,53.2%,37.1%,28.7%,32.9%,28.0%,29.5%,33.6%,70.7%,38.8%,72.4%,
BYU,Hartsock Noah,382,0.630,58.1%,24.3%,79.6%,70.3%,66.5%,51.2%,73.1%,9.2%,34.3%,100.0%,39.8%,84.2%,
BYU,Davies Brandon,380,0.554,51.7%,35.5%,72.6%,58.2%,63.7%,40.1%,51.5%,0.8%,33.3%,100.0%,55.3%,66.2%,
