Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
Toledo,Boothe Nathan,263,0.563,52.1%,25.5%,59.7%,47.5%,62.0%,48.5%,58.2%,12.5%,36.4%,100.0%,24.0%,88.9%,
Toledo,Mosley Stuckey,103,0.451,41.3%,32.0%,54.5%,16.7%,29.1%,26.7%,25.0%,38.8%,27.5%,81.8%,38.8%,62.5%,
Toledo,Lauf Jordan,93,0.579,53.8%,50.5%,63.8%,43.3%,12.9%,16.7%,0.0%,36.6%,35.3%,91.7%,68.8%,67.2%,
Toledo,Hall Kurt,52,0.584,47.1%,78.8%,48.8%,45.0%,17.3%,33.3%,33.3%,3.8%,50.0%,100.0%,80.8%,83.3%,
Toledo,Garber Zach,45,0.482,31.1%,62.2%,46.4%,61.5%,26.7%,8.3%,0.0%,11.1%,0.0%,---,128.9%,72.4%,
Toledo,Williams Aubrey,11,0.449,45.5%,45.5%,60.0%,66.7%,45.5%,40.0%,0.0%,9.1%,0.0%,---,45.5%,40.0%,
Toledo,Aparicio Angel,4,0.101,0.0%,50.0%,0.0%,---,25.0%,0.0%,---,25.0%,0.0%,---,50.0%,50.0%,
Toledo,Total,1837,0.565,52.3%,38.9%,60.0%,47.6%,32.1%,40.6%,34.3%,29.0%,36.6%,74.9%,41.2%,74.2%,
Indiana,Blackmon Jr. James,421,0.548,51.2%,38.5%,52.5%,28.2%,14.3%,25.0%,6.7%,47.3%,38.7%,84.4%,25.7%,80.6%,
Indiana,Ferrell Kevin Yogi,412,0.586,53.9%,30.8%,52.0%,12.1%,21.4%,37.5%,12.1%,47.8%,41.6%,58.5%,31.3%,86.0%,
Indiana,Williams Troy,298,0.587,55.0%,70.1%,58.9%,52.8%,25.5%,42.1%,15.6%,4.4%,46.2%,66.7%,40.3%,74.2%,
Indiana,Johnson Robert,259,0.540,52.9%,35.1%,53.8%,14.3%,13.1%,29.4%,20.0%,51.7%,38.8%,94.2%,16.6%,65.1%,
Indiana,Zeisloft Nick,158,0.680,67.4%,6.3%,80.0%,12.5%,5.1%,50.0%,25.0%,88.6%,45.0%,98.4%,10.8%,76.5%,
Indiana,Mosquera-Perea Hanner,106,0.597,59.4%,68.9%,68.5%,52.0%,31.1%,39.4%,38.5%,0.0%,---,---,68.9%,57.5%,
Indiana,Hartman Collin,102,0.649,64.2%,32.4%,60.6%,15.0%,7.8%,25.0%,50.0%,59.8%,47.5%,96.6%,34.3%,65.7%,
Indiana,Robinson Stanford,100,0.387,33.0%,62.0%,38.7%,45.8%,28.0%,32.1%,33.3%,10.0%,0.0%,---,53.0%,58.5%,
Indiana,Holt Emmitt,60,0.627,65.0%,88.3%,67.9%,61.1%,11.7%,42.9%,66.7%,0.0%,---,---,83.3%,54.0%,
Indiana,Hoetzel Max,56,0.553,51.8%,41.1%,60.9%,64.3%,7.1%,0.0%,---,51.8%,34.5%,100.0%,37.5%,71.4%,
Indiana,Priller Tim,6,0.167,16.7%,50.0%,33.3%,0.0%,0.0%,---,---,50.0%,0.0%,---,0.0%,---,
Indiana,Burton Ryan,4,1.000,100.0%,75.0%,100.0%,100.0%,25.0%,100.0%,100.0%,0.0%,---,---,0.0%,---,
Indiana,April Jeremiah,3,1.000,100.0%,66.7%,100.0%,50.0%,33.3%,100.0%,0.0%,0.0%,---,---,0.0%,---,
Indiana,Fuchs Jordan,3,0.000,0.0%,33.3%,0.0%,---,66.7%,0.0%,---,0.0%,---,---,0.0%,---,
Indiana,Ritchie Nate,1,0.513,0.0%,100.0%,0.0%,---,0.0%,---,---,0.0%,---,---,200.0%,100.0%,
Indiana,SCOTTSHANNON,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Indiana,Total,1989,0.573,54.4%,42.9%,56.4%,37.4%,17.6%,35.1%,20.3%,39.5%,40.6%,83.4%,32.7%,71.9%,
North Carolina St.,Lacey Trevor,436,0.556,52.5%,17.9%,50.0%,15.4%,36.5%,45.9%,15.1%,45.6%,39.2%,48.7%,28.9%,73.8%,
North Carolina St.,Turner Ralston,381,0.550,51.7%,7.1%,63.0%,52.9%,25.7%,39.8%,28.2%,67.2%,36.7%,91.5%,21.0%,83.8%,
North Carolina St.,Barber Anthony 'Cat',328,0.532,48.0%,38.4%,53.2%,16.4%,39.9%,38.2%,6.0%,21.6%,38.0%,66.7%,45.7%,73.3%,
North Carolina St.,Washington Kyle,210,0.505,48.3%,13.8%,72.4%,38.1%,79.5%,41.9%,51.4%,6.7%,50.0%,85.7%,18.6%,71.8%,
North Carolina St.,Abu Abdul-Malik,186,0.494,47.0%,53.2%,60.6%,73.3%,44.1%,31.7%,53.8%,2.7%,20.0%,0.0%,51.6%,56.2%,
North Carolina St.,Martin Caleb,149,0.486,44.0%,29.5%,50.0%,50.0%,15.4%,26.1%,0.0%,55.0%,30.5%,88.0%,39.6%,69.5%,
North Carolina St.,Freeman Lennard,114,0.461,44.7%,57.9%,57.6%,39.5%,42.1%,27.1%,76.9%,0.0%,---,---,42.1%,50.0%,
North Carolina St.,Anya Beejay,105,0.605,61.0%,78.1%,69.5%,56.1%,21.9%,30.4%,14.3%,0.0%,---,---,58.1%,55.7%,
North Carolina St.,Martin Cody,59,0.485,47.5%,62.7%,59.5%,45.5%,25.4%,40.0%,16.7%,11.9%,0.0%,---,28.8%,52.9%,
North Carolina St.,Lee Desmond,57,0.498,36.0%,50.9%,51.7%,33.3%,29.8%,23.5%,0.0%,19.3%,9.1%,100.0%,82.5%,80.9%,
North Carolina St.,Wallace Patrick,8,0.335,31.2%,25.0%,50.0%,0.0%,0.0%,---,---,75.0%,16.7%,0.0%,25.0%,50.0%,
North Carolina St.,Battle Staats,8,0.500,50.0%,12.5%,100.0%,0.0%,0.0%,---,---,87.5%,28.6%,100.0%,0.0%,---,
North Carolina St.,Cannon Chase,5,0.336,40.0%,60.0%,66.7%,0.0%,0.0%,---,---,40.0%,0.0%,---,40.0%,0.0%,
North Carolina St.,Corchiani Jr. Chris,4,0.250,25.0%,25.0%,0.0%,---,25.0%,100.0%,0.0%,50.0%,0.0%,---,0.0%,---,
North Carolina St.,Brickhouse Chris,4,0.500,50.0%,100.0%,50.0%,100.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
North Carolina St.,OWENSGARLAND,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
North Carolina St.,Total,2054,0.526,49.3%,30.6%,58.0%,42.0%,37.2%,38.6%,29.5%,32.2%,35.6%,73.3%,35.4%,68.6%,
Brown,Kuakumensah Cedric,264,0.534,50.0%,32.6%,55.8%,54.2%,39.0%,43.7%,51.1%,28.4%,34.7%,96.2%,41.3%,67.0%,
Brown,Blackmon Tavon,252,0.497,42.1%,43.7%,41.8%,10.9%,31.7%,41.2%,3.0%,24.6%,29.0%,83.3%,44.0%,82.0%,
Brown,Spieth Steven,230,0.519,42.4%,41.3%,52.6%,58.0%,27.4%,34.9%,9.1%,31.3%,23.6%,94.1%,60.0%,81.2%,
Brown,King Leland,206,0.543,51.5%,32.0%,68.2%,44.4%,38.8%,42.5%,29.4%,29.1%,30.0%,88.9%,23.8%,75.5%,
Brown,Hobbie JR,199,0.607,57.5%,2.5%,60.0%,66.7%,7.5%,13.3%,100.0%,89.9%,40.8%,95.9%,19.6%,89.7%,
Brown,Maia Rafael,186,0.558,55.1%,76.3%,59.2%,50.0%,13.4%,44.0%,54.5%,10.2%,26.3%,100.0%,89.8%,54.5%,
Brown,Williams Tyler,94,0.375,34.0%,20.2%,52.6%,40.0%,24.5%,30.4%,14.3%,55.3%,19.2%,80.0%,22.3%,66.7%,
Brown,Walker Dockery,77,0.491,48.1%,70.1%,55.6%,43.3%,29.9%,30.4%,42.9%,0.0%,---,---,62.3%,50.0%,
Brown,Triplett Patrick,47,0.372,29.8%,29.8%,50.0%,42.9%,25.5%,8.3%,100.0%,44.7%,19.0%,75.0%,42.6%,70.0%,
Brown,Massey Jason,47,0.469,47.9%,53.2%,68.0%,52.9%,42.6%,20.0%,50.0%,4.3%,50.0%,100.0%,42.6%,40.0%,
Brown,Haber Kyle,8,0.503,56.2%,0.0%,---,---,37.5%,0.0%,---,62.5%,60.0%,100.0%,25.0%,0.0%,
Brown,Yiljep Longji,7,0.377,28.6%,28.6%,100.0%,50.0%,57.1%,0.0%,---,14.3%,0.0%,---,28.6%,100.0%,
Brown,Schmidt Jon,4,0.447,50.0%,50.0%,50.0%,0.0%,50.0%,50.0%,100.0%,0.0%,---,---,25.0%,0.0%,
Brown,Ljuboja Miki,2,0.500,50.0%,50.0%,100.0%,0.0%,0.0%,---,---,50.0%,0.0%,---,0.0%,---,
Brown,Total,1623,0.520,47.7%,38.3%,55.4%,44.8%,27.9%,36.9%,31.1%,33.8%,31.9%,92.6%,44.8%,68.9%,
Wright St.,Arceneaux Reggie,230,0.468,45.2%,9.1%,47.6%,40.0%,32.6%,37.3%,35.7%,58.3%,32.8%,77.3%,11.3%,73.1%,
Wright St.,Karena Michael,224,0.539,54.0%,44.6%,65.0%,69.2%,55.4%,45.2%,60.7%,0.0%,---,---,31.7%,50.7%,
Wright St.,Benzinger Grant,214,0.609,60.0%,7.0%,73.3%,27.3%,29.0%,46.8%,62.1%,64.0%,43.1%,100.0%,17.3%,67.6%,
Wright St.,Yoho JT,209,0.526,48.3%,30.6%,57.8%,43.2%,34.4%,38.9%,46.4%,34.9%,32.9%,83.3%,28.7%,80.0%,
Wright St.,Hopkins Chrishawn,198,0.514,46.2%,37.9%,54.7%,22.0%,34.3%,32.4%,9.1%,27.8%,34.5%,78.9%,44.9%,71.9%,
Wright St.,Thomasson Joe,191,0.593,53.9%,40.3%,68.8%,35.8%,28.8%,41.8%,21.7%,30.9%,30.5%,72.2%,49.7%,77.9%,
Wright St.,Mitchell Justin,98,0.518,46.9%,58.2%,47.4%,37.0%,41.8%,46.3%,47.4%,0.0%,---,---,53.1%,67.3%,
Wright St.,Davis Steven,80,0.525,49.4%,38.8%,71.0%,50.0%,21.2%,41.2%,28.6%,40.0%,21.9%,100.0%,40.0%,65.6%,
Wright St.,Evans Grant,57,0.323,32.5%,8.8%,40.0%,50.0%,26.3%,20.0%,33.3%,64.9%,24.3%,100.0%,7.0%,25.0%,
Wright St.,Howell Mark,38,0.412,31.6%,26.3%,40.0%,50.0%,34.2%,38.5%,20.0%,39.5%,13.3%,100.0%,44.7%,82.4%,
Wright St.,Davis Roderick,37,0.538,56.8%,54.1%,60.0%,83.3%,45.9%,52.9%,66.7%,0.0%,---,---,37.8%,35.7%,
Wright St.,Griffin Kendall,34,0.708,64.7%,23.5%,75.0%,66.7%,8.8%,33.3%,0.0%,67.6%,43.5%,100.0%,82.4%,82.1%,
Wright St.,Collie Daniel,7,0.357,35.7%,0.0%,---,---,42.9%,33.3%,100.0%,57.1%,25.0%,100.0%,0.0%,---,
Wright St.,Stacey Trey,2,0.750,75.0%,0.0%,---,---,0.0%,---,---,100.0%,50.0%,100.0%,0.0%,---,
Wright St.,Total,1619,0.532,50.2%,29.8%,60.0%,46.2%,34.9%,40.9%,44.2%,35.3%,34.0%,88.1%,32.4%,69.5%,
UC Irvine,Davis II Will,341,0.567,54.3%,42.2%,65.3%,70.2%,57.5%,46.4%,45.1%,0.3%,0.0%,---,29.0%,70.7%,
UC Irvine,Nelson Luke,272,0.478,44.3%,16.9%,47.8%,31.8%,26.1%,39.4%,3.6%,57.0%,30.3%,76.6%,26.5%,72.2%,
UC Irvine,Young Alex,248,0.504,46.6%,23.4%,51.7%,23.3%,44.4%,40.9%,33.3%,32.3%,33.8%,63.0%,27.8%,75.4%,
UC Irvine,Martin Jaron,175,0.577,55.1%,22.3%,41.0%,6.2%,24.6%,30.2%,23.1%,53.1%,48.4%,82.2%,17.7%,83.9%,
UC Irvine,Souza Travis,169,0.682,66.3%,4.7%,37.5%,33.3%,8.9%,46.7%,28.6%,86.4%,46.6%,94.1%,19.5%,84.8%,
UC Irvine,Dimakopoulos Ioannis,126,0.484,47.6%,27.0%,52.9%,50.0%,56.3%,46.5%,45.5%,16.7%,28.6%,83.3%,10.3%,61.5%,
UC Irvine,Ndiaye Mamadou,101,0.617,63.4%,63.4%,81.2%,75.0%,35.6%,33.3%,33.3%,1.0%,0.0%,---,56.4%,52.6%,
UC Irvine,Wright Aaron,100,0.489,46.0%,44.0%,47.7%,9.5%,27.0%,25.9%,14.3%,29.0%,41.4%,100.0%,50.0%,58.0%,
UC Irvine,Best Mike,99,0.499,46.5%,34.3%,67.6%,65.2%,64.6%,35.9%,60.9%,1.0%,0.0%,---,34.3%,67.6%,
UC Irvine,Ryan John,99,0.573,56.6%,57.6%,66.7%,78.9%,42.4%,42.9%,50.0%,0.0%,---,---,34.3%,58.8%,
UC Irvine,Dunning Dominique,93,0.527,48.9%,48.4%,53.3%,33.3%,31.2%,37.9%,18.2%,20.4%,36.8%,100.0%,36.6%,70.6%,
UC Irvine,Saprykinas Haroldas,15,0.693,70.0%,6.7%,100.0%,100.0%,33.3%,40.0%,50.0%,60.0%,55.6%,100.0%,93.3%,64.3%,
UC Irvine,McConnell Reed,11,0.305,31.8%,45.5%,40.0%,0.0%,18.2%,0.0%,---,36.4%,25.0%,100.0%,9.1%,0.0%,
UC Irvine,Ray Shawn,2,1.000,100.0%,100.0%,100.0%,100.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
UC Irvine,Total,1851,0.545,52.0%,31.4%,59.6%,54.3%,38.4%,40.8%,37.2%,30.2%,39.0%,84.4%,29.2%,68.6%,
Furman,Croone Stephen,346,0.590,52.7%,39.3%,60.3%,11.0%,15.0%,34.6%,5.6%,45.7%,34.8%,65.5%,65.3%,75.2%,
Furman,Sibley Devin,233,0.572,51.5%,42.1%,55.1%,14.8%,16.7%,30.8%,8.3%,41.2%,37.5%,72.2%,54.9%,75.0%,
Furman,Ferrara Kendrec,221,0.469,45.9%,30.3%,59.7%,55.0%,48.4%,36.4%,38.5%,21.3%,31.9%,100.0%,26.2%,51.7%,
Furman,Fowler Daniel,204,0.535,51.5%,48.0%,57.1%,33.9%,18.6%,42.1%,31.2%,33.3%,32.4%,100.0%,36.3%,62.2%,
Furman,Beans Geoff,157,0.541,48.4%,12.1%,57.9%,45.5%,6.4%,20.0%,50.0%,81.5%,32.8%,97.6%,33.8%,84.9%,
Furman,Acox Kris,147,0.589,60.5%,81.0%,66.4%,50.6%,19.0%,35.7%,40.0%,0.0%,---,---,57.1%,50.0%,
Furman,Davis III John,120,0.430,40.0%,19.2%,39.1%,11.1%,35.0%,35.7%,6.7%,45.8%,29.1%,81.2%,34.2%,58.5%,
Furman,Wideman Larry,120,0.431,41.2%,18.3%,45.5%,70.0%,20.0%,33.3%,87.5%,61.7%,28.4%,90.5%,17.5%,61.9%,
Furman,Chuisseu Kevin,23,0.368,39.1%,47.8%,36.4%,75.0%,52.2%,41.7%,40.0%,0.0%,---,---,100.0%,30.4%,
Furman,Gates Jr. William,22,0.378,38.6%,9.1%,100.0%,100.0%,31.8%,28.6%,0.0%,59.1%,23.1%,100.0%,4.5%,0.0%,
Furman,GEOFF,11,0.636,63.6%,0.0%,---,---,27.3%,33.3%,100.0%,72.7%,50.0%,100.0%,0.0%,---,
Furman,O'Neill Aaron,9,0.553,55.6%,11.1%,100.0%,0.0%,11.1%,100.0%,0.0%,77.8%,28.6%,100.0%,22.2%,50.0%,
Furman,Langan Gene,7,0.629,57.1%,71.4%,60.0%,100.0%,28.6%,50.0%,0.0%,0.0%,---,---,28.6%,100.0%,
Furman,KRIS,5,0.400,40.0%,80.0%,50.0%,50.0%,20.0%,0.0%,---,0.0%,---,---,0.0%,---,
Furman,Hayes T.K.,4,0.508,25.0%,25.0%,100.0%,100.0%,25.0%,0.0%,---,50.0%,0.0%,---,100.0%,100.0%,
Furman,DEVIN,4,0.250,25.0%,50.0%,50.0%,0.0%,25.0%,0.0%,---,25.0%,0.0%,---,0.0%,---,
Furman,JOHN,2,0.000,0.0%,0.0%,---,---,50.0%,0.0%,---,50.0%,0.0%,---,0.0%,---,
Furman,LARRY,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
Furman,WHITERONRICO,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Furman,Total,1636,0.531,49.4%,37.2%,58.4%,34.1%,22.6%,35.1%,29.2%,40.2%,32.8%,83.8%,43.8%,66.9%,
Southeast Mo. St.,Bradley Jarekious,343,0.543,49.3%,28.9%,63.6%,60.3%,30.0%,35.9%,24.3%,41.1%,32.6%,87.0%,27.4%,88.3%,
Southeast Mo. St.,Cleveland Antonius,254,0.515,49.6%,42.1%,66.4%,43.7%,35.4%,41.1%,8.1%,22.4%,21.1%,83.3%,49.2%,56.8%,
Southeast Mo. St.,Jones Isiah,246,0.556,54.3%,16.3%,57.5%,17.4%,17.5%,30.2%,0.0%,66.3%,39.9%,86.2%,15.0%,70.3%,
Southeast Mo. St.,Johnson Nino,228,0.540,53.9%,49.6%,71.7%,54.3%,50.0%,36.8%,31.0%,0.4%,0.0%,---,55.3%,51.6%,
Southeast Mo. St.,Adeoye Aaron,131,0.502,46.2%,32.1%,69.0%,51.7%,58.0%,35.5%,70.4%,9.9%,23.1%,100.0%,37.4%,69.4%,
Southeast Mo. St.,Thompson J.J.,114,0.498,46.1%,29.8%,47.1%,18.8%,41.2%,29.8%,14.3%,28.9%,45.5%,53.3%,34.2%,69.2%,
Southeast Mo. St.,Wallace Marcus,100,0.572,53.5%,36.0%,52.8%,5.3%,30.0%,50.0%,26.7%,34.0%,38.2%,92.3%,51.0%,68.6%,
Southeast Mo. St.,Langford Josh,92,0.472,42.4%,52.2%,58.3%,46.4%,33.7%,16.1%,60.0%,14.1%,30.8%,100.0%,37.0%,70.6%,
Southeast Mo. St.,Calvin Jamaal,89,0.530,48.9%,19.1%,52.9%,22.2%,3.4%,0.0%,---,77.5%,33.3%,87.0%,25.8%,82.6%,
Southeast Mo. St.,Coleman Ladarius,27,0.407,29.6%,29.6%,50.0%,50.0%,40.7%,9.1%,100.0%,29.6%,25.0%,50.0%,48.1%,84.6%,
Southeast Mo. St.,Jones J.T.,21,0.437,42.9%,28.6%,66.7%,75.0%,33.3%,28.6%,0.0%,38.1%,25.0%,50.0%,19.0%,50.0%,
Southeast Mo. St.,Thomas T.J.,19,0.579,47.4%,68.4%,61.5%,75.0%,31.6%,16.7%,100.0%,0.0%,---,---,105.3%,75.0%,
Southeast Mo. St.,Woods Caleb,14,0.566,57.1%,14.3%,50.0%,0.0%,21.4%,33.3%,0.0%,64.3%,44.4%,100.0%,28.6%,50.0%,
Southeast Mo. St.,Gray Darrian,8,0.223,25.0%,25.0%,100.0%,50.0%,25.0%,0.0%,---,50.0%,0.0%,---,25.0%,0.0%,
Southeast Mo. St.,Total,1686,0.527,49.6%,33.6%,63.1%,45.5%,33.6%,34.5%,28.2%,32.8%,34.2%,84.1%,36.8%,66.7%,
UAB,Brown Robert,438,0.503,47.1%,26.0%,52.6%,31.7%,31.3%,40.1%,27.3%,42.7%,32.6%,85.2%,24.4%,73.8%,
UAB,Washington C.J.,223,0.452,41.0%,37.2%,49.4%,63.4%,37.7%,33.3%,64.3%,25.1%,26.8%,86.7%,27.8%,72.6%,
UAB,Cokley Chris,220,0.562,54.1%,62.7%,63.0%,59.8%,36.8%,39.5%,71.9%,0.5%,0.0%,---,32.3%,66.2%,
UAB,Baxter Hakeem,215,0.501,41.2%,44.2%,52.6%,34.0%,25.6%,29.1%,25.0%,30.2%,23.1%,86.7%,56.3%,79.3%,
UAB,Lee William,200,0.576,53.8%,33.5%,62.7%,54.8%,43.5%,39.1%,64.7%,23.0%,45.7%,100.0%,31.5%,79.4%,
UAB,Mehinti Tosin,186,0.525,51.1%,50.5%,60.6%,52.6%,49.5%,41.3%,78.9%,0.0%,---,---,38.7%,56.9%,
UAB,Norton Nick,178,0.604,55.3%,9.0%,25.0%,0.0%,6.2%,54.5%,16.7%,84.8%,39.1%,88.1%,37.1%,84.8%,
UAB,Madison Tyler,170,0.537,47.1%,71.2%,49.6%,66.7%,18.8%,34.4%,27.3%,10.0%,35.3%,100.0%,53.5%,75.8%,
UAB,Watts Denzell,138,0.485,43.5%,24.6%,32.4%,0.0%,39.1%,40.7%,27.3%,36.2%,36.0%,83.3%,36.2%,74.0%,
UAB,Sullivan Lewis,50,0.455,43.0%,44.0%,54.5%,50.0%,18.0%,22.2%,50.0%,38.0%,26.3%,100.0%,16.0%,75.0%,
UAB,Calhoun Jarvis,16,0.152,15.6%,12.5%,50.0%,0.0%,18.8%,0.0%,---,68.8%,9.1%,100.0%,6.2%,0.0%,
UAB,Collins Denzel,8,0.477,43.8%,50.0%,50.0%,50.0%,0.0%,---,---,50.0%,25.0%,100.0%,37.5%,66.7%,
UAB,BRITTNATE,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UAB,Total,2042,0.520,47.7%,38.7%,54.1%,50.1%,31.6%,37.8%,50.4%,29.7%,33.3%,88.6%,35.0%,73.8%,
Tulane,Dabney Louis,356,0.513,46.5%,19.1%,33.8%,26.1%,34.8%,41.1%,31.4%,46.1%,37.2%,80.3%,33.1%,78.0%,
Tulane,Stark Jonathan,320,0.457,41.9%,26.9%,57.0%,20.4%,39.7%,31.5%,7.5%,33.4%,28.0%,46.7%,26.2%,72.6%,
Tulane,Hook Jay,270,0.574,54.3%,17.8%,54.2%,38.5%,14.8%,35.0%,42.9%,67.4%,39.0%,94.4%,24.4%,80.3%,
Tulane,Henson Payton,163,0.479,42.6%,46.0%,56.0%,45.2%,19.6%,34.4%,27.3%,34.4%,19.6%,100.0%,48.5%,67.1%,
Tulane,Ostekowski Dylan,152,0.522,52.6%,65.1%,53.5%,52.8%,27.0%,43.9%,27.8%,7.9%,50.0%,83.3%,46.7%,47.9%,
Tulane,Drye Tre,114,0.490,45.6%,81.6%,48.4%,57.8%,8.8%,40.0%,0.0%,9.6%,18.2%,100.0%,70.2%,56.2%,
Tulane,Mack Kajon,93,0.493,46.2%,43.0%,60.0%,58.3%,19.4%,38.9%,42.9%,37.6%,22.9%,100.0%,21.5%,75.0%,
Tulane,Pinckney Keith,74,0.435,42.6%,33.8%,64.0%,25.0%,51.4%,36.8%,14.3%,14.9%,9.1%,0.0%,28.4%,47.6%,
Tulane,Smith Ryan,64,0.490,50.0%,76.6%,51.0%,52.0%,21.9%,50.0%,57.1%,1.6%,0.0%,---,34.4%,40.9%,
Tulane,Reynolds Cameron,47,0.481,50.0%,21.3%,70.0%,28.6%,42.6%,45.0%,11.1%,36.2%,29.4%,100.0%,8.5%,0.0%,
Tulane,Hearlihy Josh,39,0.380,38.5%,33.3%,38.5%,40.0%,30.8%,33.3%,75.0%,35.9%,28.6%,75.0%,30.8%,33.3%,
Tulane,Liberman Aaron,7,0.629,71.4%,100.0%,71.4%,80.0%,0.0%,---,---,0.0%,---,---,28.6%,0.0%,
Tulane,Roberts Jr. Stanley,1,1.000,100.0%,100.0%,100.0%,100.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
Tulane,MCCLINTONGREG,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Tulane,Total,1700,0.499,47.0%,36.1%,52.3%,43.3%,28.0%,37.6%,25.7%,35.9%,32.6%,82.4%,34.1%,64.9%,
FIU,Mavin Dennis,452,0.511,47.2%,41.6%,55.3%,35.6%,36.5%,38.2%,15.9%,21.9%,31.3%,77.4%,48.9%,64.3%,
FIU,Diaz Adrian,272,0.603,60.3%,61.8%,74.4%,53.6%,38.2%,37.5%,33.3%,0.0%,---,---,64.7%,57.4%,
FIU,Draper Daviyon,225,0.509,46.4%,45.3%,58.8%,41.7%,43.6%,31.6%,61.3%,11.1%,36.0%,88.9%,37.8%,71.8%,
FIU,Williams Dominique,186,0.496,46.2%,33.3%,71.0%,52.3%,47.8%,30.3%,37.0%,18.8%,28.6%,90.0%,25.8%,72.9%,
FIU,Gulley Kris,139,0.481,47.5%,18.7%,69.2%,33.3%,17.3%,50.0%,8.3%,64.0%,27.0%,100.0%,11.5%,56.2%,
