Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Loucks Logan,3,0.667,66.7%,66.7%,50.0%,100.0%,33.3%,100.0%,100.0%,0.0%,---,---,0.0%,---,
UC Santa Barbara,DaRe Duke,1,0.000,0.0%,100.0%,0.0%,---,0.0%,---,---,0.0%,---,---,0.0%,---,
UC Santa Barbara,Total,1574,0.567,53.1%,31.0%,60.5%,55.6%,34.3%,41.9%,58.4%,34.7%,38.5%,86.2%,41.7%,70.8%,
Evansville,Balentine D.J.,508,0.574,50.0%,20.3%,64.1%,24.2%,43.1%,36.5%,57.5%,36.6%,38.7%,59.7%,49.0%,84.7%,
Evansville,Simmons Blake,238,0.532,48.7%,19.3%,56.5%,57.7%,36.1%,38.4%,69.7%,44.5%,35.8%,97.4%,35.7%,75.3%,
Evansville,Wing Adam,200,0.488,44.0%,25.5%,56.9%,62.1%,50.0%,38.0%,65.8%,24.5%,28.6%,100.0%,29.0%,79.3%,
Evansville,Mockevicius Egidijus,185,0.662,62.7%,80.5%,67.1%,77.0%,19.5%,44.4%,81.2%,0.0%,---,---,68.1%,73.0%,
Evansville,Gibson Duane,153,0.526,47.1%,53.6%,52.4%,27.9%,45.8%,41.4%,65.5%,0.7%,0.0%,---,68.0%,66.3%,
Evansville,Brown Jaylon,99,0.507,49.5%,62.6%,56.5%,45.7%,27.3%,40.7%,54.5%,10.1%,20.0%,50.0%,51.5%,52.9%,
Evansville,Moore Jaylon,98,0.578,58.2%,59.2%,72.4%,73.8%,40.8%,37.5%,60.0%,0.0%,---,---,43.9%,53.5%,
Evansville,Howard David,43,0.497,51.2%,76.7%,57.6%,78.9%,20.9%,33.3%,66.7%,2.3%,0.0%,---,100.0%,44.2%,
Evansville,Sawvell Ryan,33,0.578,54.5%,60.6%,75.0%,80.0%,27.3%,33.3%,100.0%,12.1%,0.0%,---,21.2%,85.7%,
Evansville,Ptacek Tyler,33,0.502,45.5%,12.1%,0.0%,---,15.2%,0.0%,---,72.7%,41.7%,100.0%,18.2%,100.0%,
Evansville,Benzon Christian,26,0.483,50.0%,76.9%,60.0%,58.3%,23.1%,16.7%,100.0%,0.0%,---,---,107.7%,42.9%,
Evansville,Leazer Mike,2,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
Evansville,Total,1618,0.554,50.7%,38.8%,61.6%,56.6%,37.6%,37.6%,64.2%,23.5%,35.7%,77.2%,49.4%,71.9%,
Toledo,Pearson Rian,398,0.542,51.6%,41.5%,60.6%,50.0%,41.5%,37.6%,59.7%,17.1%,42.6%,82.8%,32.7%,66.9%,
Toledo,Brown Julius,390,0.555,49.4%,21.0%,50.0%,14.6%,36.4%,44.4%,11.1%,42.6%,35.5%,59.3%,35.6%,87.1%,
Toledo,Drummond Justin,288,0.606,55.0%,49.0%,65.2%,40.2%,24.0%,42.0%,41.4%,27.1%,32.1%,84.0%,72.2%,73.1%,
Toledo,Boothe Nathan,271,0.523,48.0%,21.4%,55.2%,46.9%,75.3%,46.6%,78.9%,3.3%,22.2%,100.0%,22.9%,87.1%,
Toledo,Weatherspoon J.D.,229,0.574,55.9%,56.3%,69.0%,57.3%,28.8%,36.4%,54.2%,14.8%,29.4%,90.0%,76.9%,58.5%,
Toledo,Williams Jonathan,184,0.542,49.5%,24.5%,60.0%,33.3%,18.5%,38.2%,61.5%,57.1%,32.4%,94.1%,31.0%,82.5%,
Toledo,Smith Matt,108,0.542,52.3%,16.7%,61.1%,18.2%,13.0%,35.7%,60.0%,70.4%,35.5%,100.0%,19.4%,71.4%,
Toledo,Lauf Jordan,80,0.602,56.2%,48.8%,69.2%,51.9%,23.8%,47.4%,44.4%,27.5%,27.3%,100.0%,73.8%,67.8%,
Toledo,Garber Zach,44,0.486,39.8%,72.7%,40.6%,53.8%,25.0%,27.3%,66.7%,2.3%,100.0%,100.0%,75.0%,69.7%,
Toledo,Williams Aubrey,2,0.508,50.0%,50.0%,100.0%,0.0%,0.0%,---,---,50.0%,0.0%,---,100.0%,50.0%,
Toledo,Beatty Donald,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
Toledo,MCADAMSREGGIE,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,WARNEYJAMEEL,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,Total,1995,0.557,51.4%,35.6%,61.0%,44.1%,36.3%,41.8%,53.1%,28.1%,34.5%,81.3%,44.5%,72.5%,
Indiana,Ferrell Kevin Yogi,409,0.573,52.1%,23.5%,54.2%,13.5%,22.7%,31.2%,0.0%,53.8%,40.0%,45.5%,37.4%,82.4%,
Indiana,Sheehey Will,288,0.550,53.0%,37.5%,61.1%,54.5%,27.8%,46.2%,64.9%,34.7%,33.0%,93.9%,24.7%,69.0%,
Indiana,Vonleh Noah,216,0.604,56.0%,62.5%,59.3%,37.5%,22.2%,35.4%,41.2%,15.3%,48.5%,93.8%,62.0%,71.6%,
Indiana,Williams Troy,173,0.558,52.6%,61.3%,59.4%,60.3%,22.0%,50.0%,42.1%,16.8%,20.7%,100.0%,44.5%,67.5%,
Indiana,Robinson Stanford,165,0.493,45.8%,59.4%,56.1%,29.1%,30.9%,31.4%,25.0%,9.7%,18.8%,66.7%,54.5%,60.0%,
Indiana,Hollowell Jeremy,151,0.453,37.4%,48.3%,46.6%,38.2%,30.5%,26.1%,58.3%,21.2%,21.9%,100.0%,45.0%,77.9%,
Indiana,Gordon Evan,140,0.528,46.4%,37.1%,51.9%,18.5%,24.3%,32.4%,45.5%,38.6%,33.3%,94.4%,41.4%,81.0%,
Indiana,Davis Devin,51,0.561,52.9%,76.5%,56.4%,40.9%,23.5%,41.7%,60.0%,0.0%,---,---,47.1%,66.7%,
Indiana,Etherington Austin,46,0.490,38.0%,43.5%,45.0%,44.4%,10.9%,20.0%,100.0%,45.7%,23.8%,80.0%,69.6%,78.1%,
Indiana,Mosquera-Perea Hanner,40,0.642,57.5%,82.5%,60.6%,65.0%,17.5%,42.9%,66.7%,0.0%,---,---,117.5%,72.3%,
Indiana,Fischer Luke,27,0.592,55.6%,85.2%,60.9%,57.1%,14.8%,25.0%,100.0%,0.0%,---,---,33.3%,77.8%,
Indiana,Hartman Collin,11,0.460,45.5%,36.4%,50.0%,50.0%,36.4%,75.0%,33.3%,27.3%,0.0%,---,18.2%,50.0%,
Indiana,Howard Jeff,11,0.552,45.5%,81.8%,55.6%,60.0%,18.2%,0.0%,---,0.0%,---,---,136.4%,66.7%,
Indiana,Marlin Jonny,4,0.339,0.0%,25.0%,0.0%,---,50.0%,0.0%,---,25.0%,0.0%,---,100.0%,100.0%,
Indiana,Wayer Taylor,4,0.000,0.0%,0.0%,---,---,25.0%,0.0%,---,75.0%,0.0%,---,0.0%,---,
Indiana,Jurkin Peter,3,0.186,0.0%,33.3%,0.0%,---,66.7%,0.0%,---,0.0%,---,---,166.7%,40.0%,
Indiana,Calomeris Andrew,2,0.500,50.0%,100.0%,50.0%,0.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
Indiana,Total,1741,0.546,49.9%,46.0%,56.2%,40.7%,24.6%,35.9%,40.9%,29.4%,34.4%,69.3%,45.3%,73.0%,
North Carolina St.,Warren T.J.,652,0.574,54.8%,37.0%,75.9%,47.5%,45.2%,43.4%,35.9%,17.8%,26.7%,93.5%,34.7%,69.0%,
North Carolina St.,Turner Ralston,310,0.551,53.1%,6.5%,65.0%,23.1%,26.8%,43.4%,47.2%,66.8%,37.2%,92.2%,22.9%,70.4%,
North Carolina St.,Barber Anthony 'Cat',269,0.475,42.4%,29.0%,61.5%,6.2%,53.9%,33.1%,6.2%,17.1%,26.1%,83.3%,41.6%,69.6%,
North Carolina St.,Lee Desmond,233,0.507,43.6%,45.1%,47.6%,44.0%,22.7%,37.7%,5.0%,32.2%,28.0%,90.5%,59.2%,72.5%,
North Carolina St.,Washington Kyle,168,0.453,43.5%,18.5%,51.6%,81.2%,80.4%,42.2%,59.6%,1.2%,0.0%,---,28.6%,56.2%,
North Carolina St.,Lewis Tyler,159,0.438,39.3%,18.9%,60.0%,22.2%,40.9%,33.8%,9.1%,40.3%,23.4%,73.3%,27.0%,74.4%,
North Carolina St.,Freeman Lennard,107,0.504,51.4%,55.1%,66.1%,48.7%,44.9%,33.3%,50.0%,0.0%,---,---,64.5%,44.9%,
North Carolina St.,Vandenberg Jordan,100,0.667,68.0%,76.0%,75.0%,71.9%,24.0%,45.8%,54.5%,0.0%,---,---,23.0%,52.2%,
North Carolina St.,Anya Beejay,46,0.568,58.7%,71.7%,69.7%,56.5%,28.3%,30.8%,25.0%,0.0%,---,---,67.4%,48.4%,
North Carolina St.,Wallace Patrick,9,0.667,66.7%,0.0%,---,---,0.0%,---,---,100.0%,44.4%,50.0%,0.0%,---,
North Carolina St.,Battle Staats,3,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,33.3%,0.0%,
North Carolina St.,Cannon Chase,3,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,0.0%,---,
North Carolina St.,Robinson Jevoni,1,1.000,100.0%,100.0%,100.0%,0.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
North Carolina St.,Total,2060,0.529,50.0%,32.7%,66.5%,45.8%,41.8%,39.7%,34.5%,25.5%,30.5%,88.8%,37.0%,65.7%,
Brown,McGonagill Sean,406,0.549,51.4%,20.0%,53.1%,18.6%,22.4%,28.6%,34.6%,57.6%,39.7%,67.7%,27.8%,77.9%,
Brown,Kuakumensah Cedric,251,0.448,40.2%,43.0%,50.9%,58.2%,56.6%,32.4%,65.2%,0.4%,0.0%,---,33.1%,69.9%,
Brown,King Leland,249,0.510,50.4%,28.5%,63.4%,40.0%,38.2%,45.3%,44.2%,33.3%,30.1%,96.0%,20.1%,54.0%,
Brown,Blackmon Tavon,201,0.443,41.8%,56.7%,47.4%,11.1%,30.8%,29.0%,5.6%,12.4%,32.0%,87.5%,34.3%,56.5%,
Brown,Maia Rafael,161,0.516,49.4%,78.9%,52.0%,47.0%,15.5%,24.0%,100.0%,5.6%,55.6%,100.0%,52.8%,57.6%,
Brown,Spieth Steven,142,0.636,55.3%,47.9%,63.2%,55.8%,25.4%,36.1%,30.8%,26.8%,39.5%,100.0%,65.5%,86.0%,
Brown,Walker Dockery,137,0.526,51.8%,71.5%,60.2%,49.2%,27.7%,31.6%,50.0%,0.7%,0.0%,---,49.6%,52.9%,
Brown,Hobbie Norman,121,0.630,61.2%,4.1%,60.0%,66.7%,7.4%,22.2%,100.0%,88.4%,43.0%,93.5%,13.2%,87.5%,
Brown,Madigan Matty,33,0.383,33.3%,33.3%,36.4%,25.0%,21.2%,14.3%,0.0%,45.5%,26.7%,100.0%,39.4%,61.5%,
Brown,Martin Aram,3,0.000,0.0%,0.0%,---,---,33.3%,0.0%,---,66.7%,0.0%,---,0.0%,---,
Brown,Yiljep Longji,2,0.000,0.0%,0.0%,---,---,50.0%,0.0%,---,50.0%,0.0%,---,0.0%,---,
Brown,BATTSKADEEM,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Brown,Biber Josh,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,0.0%,
Brown,Total,1706,0.519,48.8%,40.0%,54.5%,40.6%,29.7%,32.9%,46.1%,30.2%,38.0%,82.1%,34.8%,67.3%,
Wright St.,Pacher AJ,244,0.655,63.3%,43.9%,77.6%,69.9%,38.1%,52.7%,69.4%,18.0%,34.1%,93.3%,59.4%,69.7%,
Wright St.,Dixon Miles,238,0.504,42.2%,26.5%,58.7%,27.0%,47.9%,36.0%,22.0%,25.6%,24.6%,93.3%,50.0%,80.7%,
Wright St.,Darling Cole,222,0.489,40.3%,40.5%,35.6%,68.8%,39.6%,39.8%,54.3%,19.8%,34.1%,100.0%,52.3%,79.3%,
Wright St.,Yoho JT,215,0.557,54.4%,21.9%,66.0%,38.7%,22.3%,41.7%,40.0%,55.8%,36.7%,97.7%,18.1%,66.7%,
Wright St.,Young Jerran,210,0.548,51.9%,46.7%,65.3%,48.4%,25.7%,33.3%,44.4%,27.6%,31.0%,94.4%,43.8%,65.2%,
Wright St.,Arceneaux Reggie,192,0.589,55.5%,11.5%,50.0%,9.1%,35.9%,36.2%,16.0%,52.6%,46.5%,85.1%,19.3%,91.9%,
Wright St.,Vest Matt,165,0.650,64.5%,40.6%,74.6%,54.0%,17.0%,35.7%,50.0%,42.4%,44.3%,96.8%,38.8%,64.1%,
Wright St.,Hopkins Chrishawn,91,0.568,51.1%,40.7%,51.4%,21.1%,22.0%,25.0%,20.0%,37.4%,44.1%,93.3%,58.2%,73.6%,
Wright St.,Griffin Kendall,85,0.547,47.6%,35.3%,53.3%,37.5%,12.9%,45.5%,20.0%,51.8%,29.5%,100.0%,56.5%,77.1%,
Wright St.,Davis Steven,50,0.463,37.0%,46.0%,47.8%,36.4%,18.0%,33.3%,0.0%,36.0%,16.7%,100.0%,62.0%,74.2%,
Wright St.,Sledge Tavares,49,0.494,45.9%,59.2%,62.1%,77.8%,34.7%,17.6%,66.7%,6.1%,33.3%,100.0%,28.6%,71.4%,
Wright St.,Howell Mark,24,0.428,39.6%,45.8%,45.5%,20.0%,12.5%,0.0%,---,41.7%,30.0%,100.0%,25.0%,66.7%,
Wright St.,Collie Daniel,5,0.400,40.0%,20.0%,100.0%,0.0%,40.0%,50.0%,100.0%,40.0%,0.0%,---,0.0%,---,
Wright St.,Gossard Stephen,4,1.010,100.0%,100.0%,100.0%,100.0%,0.0%,---,---,0.0%,---,---,50.0%,100.0%,
Wright St.,Total,1794,0.561,51.7%,35.1%,60.7%,50.8%,31.0%,38.7%,42.8%,33.9%,36.1%,94.1%,42.7%,73.8%,
UC Irvine,Nelson Luke,337,0.548,52.2%,19.0%,59.4%,21.1%,22.6%,35.5%,29.6%,58.5%,37.6%,83.8%,24.3%,73.2%,
UC Irvine,McNealy Chris,315,0.528,49.7%,21.9%,62.3%,30.2%,45.4%,40.6%,41.4%,32.7%,35.9%,94.6%,33.7%,68.9%,
UC Irvine,Young Alex,276,0.489,45.1%,35.1%,49.5%,25.0%,30.4%,35.7%,13.3%,34.4%,32.6%,87.1%,31.2%,70.9%,
UC Irvine,Davis II Will,261,0.585,56.7%,48.7%,70.1%,71.9%,51.3%,44.0%,54.2%,0.0%,---,---,33.0%,66.3%,
UC Irvine,Ndiaye Mamadou,157,0.640,70.7%,63.7%,83.0%,73.5%,36.3%,49.1%,71.4%,0.0%,---,---,73.2%,42.6%,
UC Irvine,Ryan John,113,0.564,55.8%,54.9%,71.0%,77.3%,45.1%,37.3%,52.6%,0.0%,---,---,38.9%,56.8%,
UC Irvine,Souza Travis,105,0.533,50.0%,5.7%,50.0%,33.3%,3.8%,0.0%,---,90.5%,34.7%,100.0%,21.0%,81.8%,
UC Irvine,Wright Aaron,105,0.523,47.1%,54.3%,56.1%,25.0%,24.8%,26.9%,14.3%,21.0%,31.8%,100.0%,65.7%,65.2%,
UC Irvine,Best Mike,91,0.495,46.2%,31.9%,58.6%,100.0%,59.3%,40.7%,59.1%,8.8%,25.0%,100.0%,20.9%,78.9%,
UC Irvine,Dunning Dominique,90,0.545,51.1%,71.1%,54.7%,60.0%,20.0%,44.4%,37.5%,8.9%,25.0%,100.0%,60.0%,63.0%,
UC Irvine,Dimakopoulos Ioannis,34,0.578,55.9%,32.4%,72.7%,75.0%,44.1%,33.3%,60.0%,23.5%,50.0%,100.0%,41.2%,64.3%,
UC Irvine,Martin Jaron,23,0.374,34.8%,30.4%,28.6%,50.0%,21.7%,0.0%,---,47.8%,36.4%,75.0%,21.7%,60.0%,
UC Irvine,Mala Ege,13,0.470,42.3%,30.8%,50.0%,100.0%,46.2%,33.3%,50.0%,23.1%,33.3%,100.0%,30.8%,75.0%,
UC Irvine,McConnell Reed,12,0.521,50.0%,33.3%,75.0%,33.3%,8.3%,0.0%,---,58.3%,28.6%,100.0%,8.3%,100.0%,
UC Irvine,Total,1932,0.544,52.1%,36.3%,63.8%,55.7%,34.9%,39.3%,44.9%,28.8%,35.4%,90.4%,36.6%,64.1%,
Furman,Croone Stephen,374,0.577,50.8%,44.1%,61.2%,5.0%,31.0%,37.9%,9.1%,24.9%,32.3%,40.0%,68.4%,75.0%,
Furman,Wideman Larry,256,0.478,45.1%,19.1%,49.0%,29.2%,26.6%,30.9%,47.6%,54.3%,33.8%,89.4%,21.9%,69.6%,
Furman,Ferrara Kendrec,235,0.537,51.1%,44.7%,58.1%,41.0%,40.9%,49.0%,29.8%,14.5%,23.5%,87.5%,34.0%,66.2%,
Furman,Gates Jr. William,202,0.518,51.5%,32.2%,55.4%,55.6%,39.1%,40.5%,34.4%,28.7%,41.4%,83.3%,24.8%,52.0%,
Furman,Reddick Charlie,133,0.510,47.0%,19.5%,76.9%,35.0%,34.6%,37.0%,35.3%,45.9%,27.9%,100.0%,31.6%,73.8%,
Furman,Belfield Keith,119,0.500,45.8%,31.1%,40.5%,26.7%,17.6%,23.8%,40.0%,51.3%,37.7%,95.7%,31.9%,73.7%,
Furman,Rwabigwi Adonis,80,0.560,55.0%,67.5%,55.6%,43.3%,32.5%,53.8%,42.9%,0.0%,---,---,57.5%,56.5%,
Furman,Early Dominic,43,0.487,44.2%,34.9%,73.3%,36.4%,30.2%,38.5%,40.0%,34.9%,13.3%,100.0%,55.8%,62.5%,
Furman,Acox Kris,42,0.552,54.8%,73.8%,64.5%,55.0%,26.2%,27.3%,33.3%,0.0%,---,---,57.1%,54.2%,
Furman,O'Neill Aaron,28,0.585,57.1%,3.6%,100.0%,100.0%,10.7%,0.0%,---,85.7%,41.7%,90.0%,14.3%,75.0%,
Furman,Chuisseu Kevin,15,0.405,40.0%,26.7%,25.0%,100.0%,66.7%,50.0%,0.0%,6.7%,0.0%,---,66.7%,40.0%,
Furman,WILLIAM,10,0.573,60.0%,30.0%,100.0%,0.0%,30.0%,0.0%,---,40.0%,50.0%,100.0%,10.0%,0.0%,
Furman,Hayes T.K.,2,0.678,75.0%,0.0%,---,---,0.0%,---,---,100.0%,50.0%,100.0%,100.0%,50.0%,
Furman,BARRYCANYON,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Furman,DIAMONDCURTIS,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Furman,CHEALEYJOE,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Furman,Total,1539,0.531,49.5%,36.1%,58.2%,30.3%,32.0%,39.2%,29.0%,32.0%,33.3%,81.7%,41.1%,68.1%,
Southeast Mo. St.,Bradley Jarekious,438,0.611,58.3%,22.8%,75.0%,56.0%,31.3%,49.6%,41.2%,45.9%,37.3%,78.7%,28.5%,77.6%,
Southeast Mo. St.,Stone Tyler,410,0.599,57.2%,34.1%,79.3%,61.3%,49.3%,44.1%,61.8%,16.6%,33.8%,87.0%,37.3%,71.2%,
Southeast Mo. St.,Cleveland Antonius,203,0.571,55.7%,53.7%,62.4%,32.4%,27.1%,43.6%,8.3%,19.2%,35.9%,92.9%,51.2%,59.6%,
Southeast Mo. St.,Gray Darrian,195,0.530,51.8%,23.1%,77.8%,45.7%,25.6%,36.0%,27.8%,51.3%,32.0%,87.5%,17.4%,64.7%,
Southeast Mo. St.,Nutt Lucas,165,0.555,47.0%,39.4%,52.3%,11.8%,21.2%,25.7%,0.0%,39.4%,35.4%,65.2%,59.4%,81.6%,
Southeast Mo. St.,Johnson Nino,149,0.612,57.4%,59.1%,69.3%,60.7%,39.6%,39.0%,43.5%,1.3%,50.0%,100.0%,85.9%,67.2%,
Southeast Mo. St.,Calvin Jamaal,120,0.514,48.3%,19.2%,52.2%,25.0%,13.3%,25.0%,25.0%,67.5%,34.6%,92.9%,21.7%,76.9%,
Southeast Mo. St.,Langford Josh,116,0.612,62.5%,61.2%,74.6%,64.2%,28.4%,36.4%,50.0%,10.3%,41.7%,100.0%,32.8%,50.0%,
Southeast Mo. St.,Mcroberts Paul,56,0.619,63.4%,42.9%,79.2%,57.9%,14.3%,37.5%,33.3%,42.9%,37.5%,100.0%,23.2%,46.2%,
Southeast Mo. St.,Reese C.J.,41,0.494,47.6%,65.9%,51.9%,42.9%,31.7%,30.8%,0.0%,2.4%,100.0%,0.0%,39.0%,56.2%,
Southeast Mo. St.,Woods Caleb,12,0.471,41.7%,41.7%,60.0%,66.7%,50.0%,33.3%,0.0%,8.3%,0.0%,---,50.0%,66.7%,
Southeast Mo. St.,Holifield Will,11,0.636,63.6%,9.1%,0.0%,---,9.1%,100.0%,0.0%,81.8%,44.4%,100.0%,0.0%,---,
Southeast Mo. St.,Stroder Kyle,8,0.615,68.8%,12.5%,0.0%,---,37.5%,33.3%,0.0%,50.0%,75.0%,33.3%,25.0%,0.0%,
Southeast Mo. St.,SAMARRIPPASJEREMIA,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Southeast Mo. St.,Total,1924,0.583,55.6%,36.3%,69.4%,50.5%,32.1%,41.7%,41.9%,31.5%,35.9%,83.0%,38.6%,69.2%,
UAB,Frazier Chad,424,0.527,47.3%,34.7%,54.4%,7.5%,22.9%,29.9%,0.0%,42.5%,33.9%,60.7%,47.9%,72.9%,
UAB,Rucker Rod,303,0.443,37.8%,41.3%,53.6%,44.8%,56.1%,27.1%,54.3%,2.6%,12.5%,100.0%,46.9%,69.7%,
UAB,Washington C.J.,299,0.535,52.8%,47.2%,65.2%,52.2%,24.7%,32.4%,45.8%,28.1%,33.3%,100.0%,29.8%,55.1%,
UAB,Alihodzic Fahro,252,0.476,45.6%,48.8%,53.7%,60.6%,51.2%,38.0%,71.4%,0.0%,---,---,28.2%,59.2%,
UAB,Williams Robert,220,0.495,45.5%,53.2%,53.8%,30.2%,10.5%,17.4%,25.0%,36.4%,27.5%,95.5%,46.8%,64.1%,
UAB,Swing Jordan,166,0.480,44.0%,28.3%,70.2%,51.5%,17.5%,24.1%,0.0%,54.2%,24.4%,90.9%,33.7%,69.6%,
UAB,Watts Denzell,87,0.509,47.7%,29.9%,57.7%,33.3%,27.6%,41.7%,0.0%,42.5%,29.7%,81.8%,43.7%,63.2%,
UAB,Mehinti Tosin,75,0.499,46.7%,46.7%,57.1%,45.0%,53.3%,37.5%,46.7%,0.0%,---,---,40.0%,63.3%,
UAB,Madison Tyler,37,0.453,41.9%,64.9%,54.2%,38.5%,10.8%,25.0%,100.0%,24.3%,11.1%,100.0%,78.4%,51.7%,
UAB,Purifoy Preston,32,0.497,46.9%,31.2%,40.0%,25.0%,12.5%,50.0%,0.0%,56.2%,33.3%,100.0%,34.4%,63.6%,
UAB,Rideau Thaddeus,21,0.405,40.5%,14.3%,33.3%,0.0%,4.8%,0.0%,---,81.0%,29.4%,100.0%,0.0%,---,
UAB,Moton Karl,3,0.833,83.3%,33.3%,100.0%,100.0%,0.0%,---,---,66.7%,50.0%,100.0%,0.0%,---,
UAB,PELCHENGRANT,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UAB,Total,1919,0.496,45.8%,41.6%,56.9%,39.8%,31.0%,31.4%,42.8%,27.4%,30.1%,81.6%,40.2%,65.8%,
Tulane,Dabney Louis,386,0.513,45.2%,36.0%,51.1%,21.1%,37.3%,41.7%,11.7%,26.7%,28.2%,75.9%,55.4%,70.6%,
Tulane,Stark Jonathan,385,0.529,47.4%,26.5%,50.0%,17.6%,42.6%,39.0%,9.4%,30.9%,37.8%,42.2%,44.9%,74.6%,
Tulane,Hook Jay,304,0.634,58.1%,27.6%,51.2%,27.9%,14.5%,20.5%,11.1%,57.9%,47.2%,91.6%,46.7%,83.1%,
Tulane,Drye Tre,168,0.524,50.0%,70.2%,55.1%,47.7%,15.5%,38.5%,40.0%,14.3%,25.0%,100.0%,67.9%,57.0%,
Tulane,Reynolds Cameron,153,0.372,34.3%,15.7%,33.3%,75.0%,21.6%,21.2%,14.3%,62.7%,26.0%,96.0%,30.1%,54.3%,
Tulane,Henson Payton,107,0.463,40.2%,36.4%,48.7%,31.6%,15.0%,18.8%,66.7%,48.6%,26.9%,100.0%,38.3%,75.6%,
Tulane,Bruha Tomas,66,0.566,57.6%,78.8%,61.5%,71.9%,21.2%,42.9%,33.3%,0.0%,---,---,51.5%,50.0%,
Tulane,Thomas Kevin,60,0.529,48.3%,61.7%,51.4%,73.7%,38.3%,43.5%,40.0%,0.0%,---,---,51.7%,67.7%,
Tulane,Smith Ryan,16,0.410,50.0%,43.8%,57.1%,50.0%,56.2%,44.4%,100.0%,0.0%,---,---,62.5%,10.0%,
Tulane,Hearlihy Josh,13,0.323,26.9%,30.8%,25.0%,0.0%,46.2%,16.7%,0.0%,23.1%,33.3%,100.0%,15.4%,100.0%,
Tulane,Currie Cole,7,0.126,0.0%,14.3%,0.0%,---,42.9%,0.0%,---,42.9%,0.0%,---,28.6%,100.0%,
Tulane,Herbert Mikael,7,0.305,14.3%,14.3%,100.0%,100.0%,14.3%,0.0%,---,71.4%,0.0%,---,85.7%,66.7%,
Tulane,Keenan Max,6,0.561,50.0%,0.0%,---,---,33.3%,0.0%,---,66.7%,50.0%,100.0%,133.3%,62.5%,
Tulane,Barreno Ray,4,0.250,25.0%,25.0%,0.0%,---,75.0%,33.3%,0.0%,0.0%,---,---,0.0%,---,
Tulane,BANKSTRELUN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
