Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Osifeso Tide,2,0.457,75.0%,0.0%,---,---,0.0%,---,---,100.0%,50.0%,100.0%,250.0%,20.0%,
UC Santa Barbara,Total,1946,0.532,50.6%,31.7%,63.6%,53.8%,32.6%,34.1%,38.9%,35.8%,36.1%,80.5%,26.9%,70.0%,
Portland St.,Forte Cameron,421,0.581,58.1%,66.7%,69.4%,55.9%,32.8%,34.8%,50.0%,0.5%,50.0%,0.0%,46.1%,55.2%,
Portland St.,Robinson Caleen,273,0.527,49.8%,18.3%,66.0%,12.1%,19.4%,30.2%,12.5%,62.3%,34.1%,84.5%,19.8%,79.6%,
Portland St.,Pineiro Isaiah,270,0.572,52.4%,34.1%,65.2%,53.3%,55.6%,45.3%,58.8%,10.4%,32.1%,88.9%,43.7%,76.3%,
Portland St.,Gengler Zach,190,0.574,53.7%,19.5%,89.2%,57.6%,31.1%,40.7%,37.5%,49.5%,31.9%,96.7%,24.2%,84.8%,
Portland St.,Parsons De&#x27;Sean,150,0.546,52.0%,45.3%,73.5%,52.0%,37.3%,39.3%,59.1%,17.3%,15.4%,100.0%,54.0%,61.7%,
Portland St.,Stewart Donivine,148,0.515,51.4%,41.2%,54.1%,30.3%,23.0%,47.1%,25.0%,35.8%,34.0%,72.2%,28.4%,50.0%,
Portland St.,Spickerman Collin,138,0.527,51.4%,37.7%,78.8%,75.6%,61.6%,35.3%,83.3%,0.7%,0.0%,---,16.7%,65.2%,
Portland St.,White Bryce,130,0.500,45.8%,30.0%,66.7%,38.5%,36.2%,23.4%,18.2%,33.8%,34.1%,80.0%,30.8%,75.0%,
Portland St.,Holloway Khari,74,0.476,42.6%,17.6%,61.5%,75.0%,29.7%,18.2%,50.0%,52.7%,33.3%,84.6%,25.7%,84.2%,
Portland St.,Collins Armani,66,0.470,47.7%,4.5%,66.7%,50.0%,15.2%,40.0%,25.0%,80.3%,32.1%,94.1%,16.7%,36.4%,
Portland St.,Garrison Evan,17,0.418,38.2%,11.8%,100.0%,0.0%,58.8%,30.0%,33.3%,29.4%,20.0%,100.0%,11.8%,100.0%,
Portland St.,Okonkwo Namdi,14,0.494,50.0%,35.7%,80.0%,100.0%,64.3%,33.3%,100.0%,0.0%,---,---,78.6%,45.5%,
Portland St.,Leunan Montie,9,0.503,50.0%,55.6%,60.0%,100.0%,0.0%,---,---,44.4%,25.0%,100.0%,22.2%,50.0%,
Portland St.,Davydov Daniel,3,0.759,66.7%,66.7%,100.0%,50.0%,33.3%,0.0%,---,0.0%,---,---,66.7%,100.0%,
Portland St.,Total,1903,0.545,52.1%,37.3%,69.3%,52.0%,35.4%,36.9%,50.6%,27.3%,32.2%,86.2%,33.9%,65.9%,
Indiana,Ferrell Kevin Yogi,428,0.600,55.0%,29.0%,58.9%,13.7%,27.1%,37.9%,9.1%,43.9%,42.0%,50.6%,38.3%,82.9%,
Indiana,Williams Troy,318,0.587,55.3%,59.4%,64.0%,48.8%,17.0%,29.6%,18.8%,23.6%,34.7%,88.5%,50.9%,69.1%,
Indiana,Bryant Thomas,230,0.704,69.3%,76.5%,74.4%,64.9%,17.0%,53.8%,47.6%,6.5%,33.3%,80.0%,59.1%,70.6%,
Indiana,Bielfeldt Max,219,0.596,58.2%,42.9%,64.9%,47.5%,27.9%,37.7%,30.4%,29.2%,45.3%,93.1%,20.1%,70.5%,
Indiana,Johnson Robert,187,0.593,58.6%,27.3%,52.9%,37.0%,11.8%,27.3%,33.3%,61.0%,44.7%,96.1%,19.3%,63.9%,
Indiana,Zeisloft Nick,172,0.626,60.8%,4.1%,42.9%,0.0%,5.2%,44.4%,0.0%,90.7%,41.7%,98.5%,12.2%,90.5%,
Indiana,Blackmon Jr. James,152,0.625,60.2%,35.5%,51.9%,21.4%,11.8%,44.4%,0.0%,52.6%,46.2%,78.4%,17.8%,85.2%,
Indiana,Hartman Collin,144,0.572,55.2%,27.1%,69.2%,44.4%,16.7%,37.5%,55.6%,56.2%,35.8%,96.6%,13.2%,84.2%,
Indiana,Anunoby O.G.,116,0.607,62.5%,63.8%,64.9%,39.6%,11.2%,38.5%,20.0%,25.0%,44.8%,92.3%,36.2%,47.6%,
Indiana,Morgan Juwan,41,0.643,57.3%,53.7%,63.6%,57.1%,19.5%,25.0%,50.0%,26.8%,45.5%,100.0%,73.2%,80.0%,
Indiana,Niego Harrison,13,0.381,38.5%,30.8%,25.0%,100.0%,7.7%,100.0%,0.0%,61.5%,25.0%,100.0%,23.1%,33.3%,
Indiana,Burton Ryan,9,0.739,77.8%,11.1%,0.0%,---,11.1%,100.0%,0.0%,77.8%,57.1%,100.0%,11.1%,0.0%,
Indiana,Priller Tim,3,0.506,33.3%,33.3%,100.0%,0.0%,0.0%,---,---,66.7%,0.0%,---,66.7%,100.0%,
Indiana,Taylor Quentin,2,0.508,50.0%,50.0%,0.0%,---,50.0%,100.0%,0.0%,0.0%,---,---,100.0%,50.0%,
Indiana,Tharp Jackson,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Indiana,Total,2034,0.612,58.7%,41.2%,63.9%,44.7%,18.0%,38.4%,23.4%,40.8%,41.6%,83.2%,33.9%,73.1%,
North Carolina St.,Barber Anthony &#x27;Cat&#x27;,559,0.552,47.3%,33.1%,56.2%,13.5%,46.0%,37.4%,9.4%,20.9%,36.8%,48.8%,46.5%,86.5%,
North Carolina St.,Rowan Maverick,389,0.496,46.4%,11.6%,48.9%,54.5%,26.5%,35.9%,35.1%,62.0%,33.6%,88.9%,21.9%,76.5%,
North Carolina St.,Abu Abdul-Malik,337,0.521,49.0%,56.7%,64.9%,46.0%,43.3%,28.1%,43.9%,0.0%,---,---,45.7%,63.0%,
North Carolina St.,Martin Caleb,329,0.526,50.9%,18.5%,62.3%,39.5%,14.9%,22.4%,36.4%,66.6%,36.1%,82.3%,20.1%,66.7%,
North Carolina St.,Martin Cody,167,0.500,47.6%,46.1%,61.0%,40.4%,49.7%,33.7%,25.0%,4.2%,42.9%,66.7%,40.1%,59.7%,
North Carolina St.,Anya Beejay,106,0.543,57.5%,72.6%,67.5%,46.2%,27.4%,31.0%,22.2%,0.0%,---,---,74.5%,43.0%,
North Carolina St.,Freeman Lennard,78,0.526,52.6%,82.1%,59.4%,55.3%,17.9%,21.4%,100.0%,0.0%,---,---,64.1%,50.0%,
North Carolina St.,BARBERCAT,13,0.560,38.5%,23.1%,66.7%,0.0%,61.5%,37.5%,0.0%,15.4%,0.0%,---,107.7%,85.7%,
North Carolina St.,Kirk Shaun,13,0.358,34.6%,30.8%,50.0%,100.0%,23.1%,33.3%,100.0%,46.2%,16.7%,100.0%,15.4%,50.0%,
North Carolina St.,Cannon Chase,4,0.000,0.0%,50.0%,0.0%,---,0.0%,---,---,50.0%,0.0%,---,0.0%,---,
North Carolina St.,Henderson Terry,3,0.000,0.0%,33.3%,0.0%,---,33.3%,0.0%,---,33.3%,0.0%,---,0.0%,---,
North Carolina St.,Corchiani Jr. Chris,1,1.000,100.0%,100.0%,100.0%,0.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
North Carolina St.,Total,1999,0.524,48.5%,35.6%,60.5%,38.1%,34.7%,33.0%,24.9%,29.8%,34.8%,77.8%,38.9%,69.9%,
Brown,Kuakumensah Cedric,305,0.551,52.5%,50.2%,54.9%,65.5%,26.2%,35.0%,42.9%,23.6%,44.4%,93.8%,29.5%,70.0%,
Brown,Blackmon Tavon,250,0.564,51.2%,50.8%,53.5%,7.4%,24.0%,30.0%,0.0%,25.2%,44.4%,85.7%,48.0%,75.0%,
Brown,Spieth Steven,207,0.581,50.7%,50.7%,58.1%,50.8%,12.1%,20.0%,60.0%,37.2%,33.8%,92.3%,53.1%,82.7%,
Brown,Hobbie JR,179,0.597,57.8%,6.1%,45.5%,60.0%,3.4%,16.7%,0.0%,90.5%,40.1%,98.5%,14.0%,84.0%,
Brown,Okolie Obi,130,0.544,51.2%,51.5%,55.2%,35.1%,30.8%,40.0%,31.2%,17.7%,39.1%,100.0%,53.1%,63.8%,
Brown,Massey Jason,127,0.482,44.9%,68.5%,50.6%,59.1%,11.0%,28.6%,25.0%,20.5%,23.1%,100.0%,52.8%,58.2%,
Brown,Daugherty Corey,97,0.420,40.2%,23.7%,60.9%,21.4%,11.3%,36.4%,50.0%,64.9%,22.2%,71.4%,14.4%,64.3%,
Brown,Fuller Travis,68,0.451,47.8%,60.3%,51.2%,71.4%,16.2%,36.4%,50.0%,23.5%,31.2%,100.0%,57.4%,33.3%,
Brown,Massey Justin,67,0.556,53.0%,25.4%,76.5%,46.2%,6.0%,0.0%,---,68.7%,32.6%,100.0%,23.9%,75.0%,
Brown,Haber Kyle,48,0.479,44.8%,12.5%,66.7%,50.0%,22.9%,36.4%,25.0%,64.6%,29.0%,100.0%,22.9%,72.7%,
Brown,Triplett Patrick,33,0.486,43.9%,51.5%,47.1%,75.0%,15.2%,40.0%,50.0%,33.3%,27.3%,100.0%,45.5%,66.7%,
Brown,Martin Aram,31,0.304,25.8%,48.4%,46.7%,85.7%,16.1%,20.0%,100.0%,35.5%,0.0%,---,12.9%,100.0%,
Brown,Sullivan Chris,19,0.474,47.4%,21.1%,50.0%,0.0%,10.5%,50.0%,0.0%,68.4%,30.8%,100.0%,0.0%,---,
Brown,Williams Tyler,9,0.295,16.7%,33.3%,0.0%,---,33.3%,0.0%,---,33.3%,33.3%,100.0%,66.7%,66.7%,
Brown,Ljuboja Miki,5,0.504,40.0%,60.0%,66.7%,100.0%,0.0%,---,---,40.0%,0.0%,---,40.0%,100.0%,
Brown,Total,1575,0.533,49.7%,43.1%,54.5%,46.8%,17.6%,31.8%,31.8%,39.3%,35.1%,94.0%,37.3%,69.7%,
Wright St.,Yoho JT,369,0.530,51.1%,22.0%,66.7%,35.2%,43.1%,36.5%,29.3%,35.0%,39.5%,90.2%,19.2%,70.4%,
Wright St.,Alstork Mark,324,0.553,51.5%,31.5%,54.9%,41.1%,24.4%,38.0%,23.3%,44.1%,37.8%,81.5%,44.4%,69.4%,
Wright St.,Karena Michael,251,0.557,52.6%,43.0%,68.5%,66.2%,57.0%,40.6%,56.9%,0.0%,---,---,43.8%,67.3%,
Wright St.,Thomasson Joe,246,0.560,49.2%,26.0%,56.2%,33.3%,37.0%,40.7%,13.5%,37.0%,35.2%,68.8%,47.2%,81.9%,
Wright St.,Benzinger Grant,218,0.566,55.0%,9.2%,65.0%,46.2%,17.9%,35.9%,42.9%,72.9%,39.0%,96.8%,10.6%,82.6%,
Wright St.,Minnis Biggie,174,0.507,51.1%,46.0%,57.5%,26.1%,41.4%,47.2%,23.5%,12.6%,27.3%,50.0%,32.8%,45.6%,
Wright St.,Hughes Mark,88,0.559,52.3%,27.3%,66.7%,50.0%,13.6%,25.0%,33.3%,59.1%,34.6%,100.0%,37.5%,72.7%,
Wright St.,Mitchell Justin,69,0.477,44.9%,55.1%,60.5%,52.2%,40.6%,28.6%,50.0%,4.3%,0.0%,---,23.2%,68.8%,
Wright St.,Mortensen Daniel,52,0.577,57.7%,5.8%,33.3%,0.0%,9.6%,40.0%,50.0%,84.6%,40.9%,100.0%,0.0%,---,
Wright St.,Ernsthausen Parker,36,0.522,44.4%,55.6%,65.0%,69.2%,41.7%,20.0%,100.0%,2.8%,0.0%,---,91.7%,66.7%,
Wright St.,Vest Alan,28,0.527,51.8%,21.4%,50.0%,33.3%,14.3%,25.0%,100.0%,64.3%,38.9%,100.0%,17.9%,60.0%,
Wright St.,Neel Brandon,19,0.359,31.6%,47.4%,33.3%,100.0%,31.6%,50.0%,66.7%,21.1%,0.0%,---,21.1%,75.0%,
Wright St.,Collie Daniel,17,0.407,38.2%,17.6%,66.7%,100.0%,17.6%,0.0%,---,64.7%,27.3%,100.0%,17.6%,66.7%,
Wright St.,Davis Roderick,15,0.504,53.3%,46.7%,85.7%,83.3%,46.7%,28.6%,100.0%,6.7%,0.0%,---,40.0%,33.3%,
Wright St.,Stacey Trey,10,0.850,85.0%,0.0%,---,---,10.0%,100.0%,0.0%,90.0%,55.6%,100.0%,0.0%,---,
Wright St.,DORSEY-WALKERS,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Wright St.,Total,1916,0.543,51.4%,29.5%,61.2%,46.5%,34.7%,38.3%,35.4%,35.9%,37.3%,88.3%,32.4%,69.4%,
UC Irvine,Nelson Luke,400,0.571,53.1%,19.0%,63.2%,27.1%,25.0%,43.0%,37.2%,56.0%,36.2%,70.4%,24.2%,86.6%,
UC Irvine,Young Alex,321,0.537,50.9%,25.9%,57.8%,22.9%,42.1%,37.8%,29.4%,32.1%,41.7%,74.4%,27.1%,71.3%,
UC Irvine,Best Mike,312,0.521,48.4%,41.7%,63.1%,62.2%,57.7%,38.3%,65.2%,0.6%,0.0%,---,28.8%,75.6%,
UC Irvine,Martin Jaron,263,0.530,50.4%,22.8%,36.7%,22.7%,20.2%,41.5%,22.7%,57.0%,39.3%,98.3%,22.1%,74.1%,
UC Irvine,Ndiaye Mamadou,245,0.671,67.3%,64.5%,81.0%,77.3%,35.5%,42.5%,64.9%,0.0%,---,---,68.2%,62.9%,
UC Irvine,Dimakopoulos Ioannis,177,0.506,48.9%,31.6%,58.9%,42.4%,49.7%,42.0%,48.6%,18.6%,33.3%,90.9%,22.0%,64.1%,
UC Irvine,Wright Aaron,97,0.482,41.8%,37.1%,41.7%,20.0%,20.6%,30.0%,16.7%,42.3%,31.7%,100.0%,63.9%,66.1%,
UC Irvine,Dunning Dominique,83,0.465,42.8%,42.2%,45.7%,56.2%,38.6%,28.1%,33.3%,19.3%,43.8%,100.0%,56.6%,57.4%,
UC Irvine,Galloway Jonathan,73,0.548,56.2%,60.3%,72.7%,59.4%,39.7%,31.0%,44.4%,0.0%,---,---,63.0%,47.8%,
UC Irvine,Smith Brandon,51,0.448,40.2%,35.3%,55.6%,40.0%,23.5%,25.0%,33.3%,41.2%,23.8%,100.0%,43.1%,63.6%,
UC Irvine,Saprykinas Haroldas,40,0.497,48.8%,7.5%,66.7%,50.0%,15.0%,16.7%,100.0%,77.5%,35.5%,100.0%,22.5%,55.6%,
UC Irvine,Ray Shawn,8,0.118,12.5%,37.5%,0.0%,---,62.5%,20.0%,0.0%,0.0%,---,---,12.5%,0.0%,
UC Irvine,Rivers Spencer,7,0.387,42.9%,14.3%,0.0%,---,0.0%,---,---,85.7%,33.3%,50.0%,100.0%,28.6%,
UC Irvine,Hazzard Max,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
UC Irvine,Chehabi Haitham,1,1.500,150.0%,0.0%,---,---,0.0%,---,---,100.0%,100.0%,100.0%,0.0%,---,
UC Irvine,RICOBEN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Irvine,BREWEMITCH,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Irvine,Traylor Darrian,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Irvine,Total,2079,0.545,51.6%,33.8%,62.0%,52.5%,36.0%,38.5%,46.2%,30.2%,37.1%,83.7%,35.2%,68.0%,
Montana,Breunig Martin,367,0.653,62.5%,54.5%,74.5%,56.4%,42.8%,48.4%,34.2%,2.7%,30.0%,66.7%,63.5%,70.8%,
Montana,Wright Walter,367,0.515,46.7%,32.4%,49.6%,10.2%,32.4%,35.3%,11.9%,35.1%,36.4%,57.4%,31.3%,79.1%,
Montana,Oguine Michael,290,0.509,45.7%,41.0%,55.5%,24.2%,24.8%,27.8%,15.0%,34.1%,31.3%,100.0%,48.3%,70.0%,
Montana,Gfeller Brandon,208,0.589,56.2%,3.8%,25.0%,0.0%,7.2%,46.7%,28.6%,88.9%,38.9%,95.8%,24.0%,78.0%,
Montana,Moorehead Bobby,160,0.557,55.6%,13.1%,57.1%,41.7%,10.0%,31.2%,20.0%,76.9%,39.0%,100.0%,6.9%,54.5%,
Montana,Lopez Jack,132,0.710,70.5%,18.2%,87.5%,57.1%,12.9%,52.9%,77.8%,68.9%,46.2%,95.2%,15.2%,75.0%,
Montana,Krslovic Fabijan,121,0.498,49.6%,67.8%,56.1%,63.0%,30.6%,37.8%,21.4%,1.7%,0.0%,---,44.6%,48.1%,
Montana,Dunn Mario,80,0.513,50.6%,36.2%,65.5%,10.5%,32.5%,42.3%,18.2%,31.2%,28.0%,100.0%,15.0%,58.3%,
Montana,Bradshaw Riley,29,0.381,34.5%,17.2%,20.0%,0.0%,27.6%,37.5%,66.7%,55.2%,25.0%,100.0%,27.6%,62.5%,
Montana,Boehning Bryden,28,0.447,46.4%,42.9%,75.0%,66.7%,57.1%,25.0%,50.0%,0.0%,---,---,25.0%,28.6%,
Montana,DeJong Gavin,25,0.477,48.0%,60.0%,46.7%,71.4%,40.0%,50.0%,60.0%,0.0%,---,---,28.0%,42.9%,
Montana,KALUNAAKO,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Montana,Total,1807,0.565,53.6%,35.1%,61.7%,42.2%,27.3%,39.8%,28.6%,37.6%,37.4%,89.8%,36.4%,69.6%,
Southeast Mo. St.,Cleveland Antonius,321,0.483,45.2%,34.3%,62.7%,47.8%,52.6%,37.9%,20.3%,13.1%,19.0%,100.0%,41.1%,61.4%,
Southeast Mo. St.,Jones Isiah,266,0.507,48.3%,18.8%,60.0%,33.3%,20.7%,29.1%,18.8%,60.5%,34.2%,83.6%,23.7%,68.3%,
Southeast Mo. St.,Angus III Joel,203,0.546,49.3%,32.0%,66.2%,55.8%,67.0%,41.9%,49.1%,1.0%,0.0%,---,53.7%,71.6%,
Southeast Mo. St.,McGill Eric,184,0.451,45.4%,15.2%,53.6%,20.0%,38.6%,35.2%,32.0%,46.2%,34.1%,69.0%,20.1%,40.5%,
Southeast Mo. St.,Kellum Trey,183,0.514,48.6%,39.3%,61.1%,59.1%,60.7%,40.5%,57.8%,0.0%,---,---,55.7%,58.8%,
Southeast Mo. St.,Calvin Jamaal,127,0.478,42.1%,11.8%,46.7%,14.3%,21.3%,22.2%,0.0%,66.9%,31.8%,85.2%,30.7%,82.1%,
Southeast Mo. St.,Anderson Tony,111,0.499,43.2%,21.6%,66.7%,68.8%,62.2%,33.3%,30.4%,16.2%,33.3%,33.3%,45.9%,76.5%,
Southeast Mo. St.,Stewart Jaylin,50,0.428,43.0%,12.0%,50.0%,66.7%,36.0%,44.4%,50.0%,52.0%,26.9%,100.0%,16.0%,37.5%,
Southeast Mo. St.,Wallace Marcus,48,0.391,40.6%,35.4%,52.9%,44.4%,31.2%,40.0%,33.3%,33.3%,18.8%,100.0%,25.0%,25.0%,
Southeast Mo. St.,Gullett Kyle,41,0.427,41.5%,17.1%,42.9%,33.3%,36.6%,13.3%,100.0%,46.3%,42.1%,100.0%,12.2%,60.0%,
Southeast Mo. St.,Coleman Ladarius,25,0.417,38.0%,32.0%,50.0%,50.0%,48.0%,33.3%,50.0%,20.0%,20.0%,100.0%,32.0%,62.5%,
Southeast Mo. St.,Jones J.T.,19,0.389,34.2%,31.6%,16.7%,100.0%,15.8%,33.3%,0.0%,52.6%,30.0%,100.0%,31.6%,66.7%,
Southeast Mo. St.,IIIJOEL,10,0.639,60.0%,10.0%,100.0%,100.0%,90.0%,55.6%,40.0%,0.0%,---,---,20.0%,100.0%,
Southeast Mo. St.,Dosier Robby,8,0.335,31.2%,0.0%,---,---,25.0%,50.0%,0.0%,75.0%,16.7%,100.0%,25.0%,50.0%,
Southeast Mo. St.,ROBINSONJOSH,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Southeast Mo. St.,Total,1596,0.489,45.7%,25.6%,59.9%,48.6%,44.6%,36.9%,36.9%,29.8%,31.2%,82.4%,36.1%,64.1%,
UAB,Brown Robert,372,0.552,52.0%,27.4%,56.9%,43.1%,26.9%,35.0%,31.4%,45.7%,39.4%,88.1%,25.8%,77.1%,
UAB,Cokley Chris,307,0.601,57.3%,61.2%,66.0%,70.2%,38.8%,43.7%,80.8%,0.0%,---,---,36.5%,72.3%,
UAB,Lee William,278,0.565,55.0%,30.9%,79.1%,48.5%,35.6%,37.4%,70.3%,33.5%,34.4%,93.8%,24.1%,65.7%,
UAB,Williams Dirk,224,0.623,58.9%,29.9%,65.7%,43.2%,14.3%,50.0%,18.8%,55.8%,38.4%,97.9%,21.9%,89.8%,
UAB,Norton Nick,215,0.591,55.1%,17.2%,54.1%,5.0%,7.9%,58.8%,30.0%,74.9%,36.6%,89.8%,26.5%,86.0%,
UAB,Baxter Hakeem,156,0.498,42.9%,54.5%,54.1%,47.8%,24.4%,15.8%,16.7%,21.2%,30.3%,100.0%,53.8%,72.6%,
UAB,Mehinti Tosin,129,0.557,55.8%,53.5%,65.2%,57.8%,46.5%,45.0%,74.1%,0.0%,---,---,58.9%,52.6%,
UAB,Watts Denzell,113,0.533,50.9%,18.6%,42.9%,0.0%,22.1%,44.0%,18.2%,59.3%,37.3%,84.0%,22.1%,72.0%,
UAB,Sullivan Lewis,96,0.632,60.9%,69.8%,74.6%,70.0%,26.0%,28.0%,85.7%,4.2%,25.0%,100.0%,63.5%,67.2%,
UAB,Madison Tyler,54,0.428,38.0%,77.8%,38.1%,62.5%,14.8%,37.5%,0.0%,7.4%,25.0%,100.0%,35.2%,68.4%,
UAB,Smallwood Thomas,25,0.700,68.0%,20.0%,80.0%,75.0%,28.0%,57.1%,25.0%,52.0%,46.2%,83.3%,24.0%,83.3%,
UAB,Love Lionel,2,0.847,75.0%,0.0%,---,---,0.0%,---,---,100.0%,50.0%,100.0%,100.0%,100.0%,
UAB,Total,1971,0.571,54.1%,39.0%,62.9%,53.9%,26.9%,39.2%,55.3%,34.1%,37.2%,91.2%,33.2%,72.2%,
Tulane,Dabney Louis,413,0.492,43.6%,25.2%,51.0%,13.2%,32.9%,33.8%,8.7%,41.9%,31.2%,61.1%,34.9%,79.2%,
Tulane,Morgan Malik,365,0.522,50.8%,26.3%,55.2%,11.3%,24.4%,42.7%,18.4%,49.3%,35.0%,81.0%,18.9%,63.8%,
Tulane,Ostekowski Dylan,322,0.498,45.7%,59.3%,58.1%,51.4%,26.7%,20.9%,33.3%,14.0%,26.7%,83.3%,40.7%,67.9%,
Tulane,Reynolds Cameron,209,0.440,40.7%,24.4%,60.8%,54.8%,32.5%,26.5%,11.1%,43.1%,26.7%,83.3%,16.3%,82.4%,
Tulane,Harris Kain,162,0.442,38.9%,24.7%,40.0%,43.8%,23.5%,28.9%,27.3%,51.9%,28.6%,95.8%,27.8%,80.0%,
Tulane,Frazier Melvin,157,0.472,45.9%,46.5%,56.2%,36.6%,13.4%,19.0%,50.0%,40.1%,28.6%,94.4%,39.5%,51.6%,
Tulane,Jarreau Jernard,113,0.497,47.8%,40.7%,63.0%,62.1%,43.4%,32.7%,43.8%,15.9%,33.3%,100.0%,46.0%,55.8%,
Tulane,Julien Von,104,0.436,41.8%,33.7%,54.3%,15.8%,20.2%,23.8%,0.0%,46.2%,27.1%,92.3%,12.5%,69.2%,
Tulane,Smith Ryan,61,0.522,49.2%,82.0%,54.0%,51.9%,18.0%,27.3%,66.7%,0.0%,---,---,54.1%,60.6%,
Tulane,Paul Blake,53,0.558,54.7%,90.6%,56.2%,51.9%,9.4%,40.0%,100.0%,0.0%,---,---,56.6%,56.7%,
Tulane,Oliver Taron,41,0.415,41.5%,26.8%,63.6%,42.9%,51.2%,33.3%,0.0%,22.0%,22.2%,100.0%,12.2%,40.0%,
Tulane,Mack Kajon,15,0.244,26.7%,26.7%,25.0%,0.0%,53.3%,37.5%,0.0%,20.0%,0.0%,---,20.0%,0.0%,
Tulane,Conroy Riley,6,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,0.0%,---,
Tulane,BANKSTRELUN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Tulane,Total,2021,0.484,45.0%,37.1%,55.4%,38.8%,27.4%,30.9%,20.5%,35.6%,30.0%,80.6%,30.7%,67.6%,
FIU,Draper Daviyon,430,0.516,49.2%,27.0%,67.2%,32.1%,53.5%,36.5%,26.2%,19.5%,39.3%,81.8%,22.8%,70.4%,
FIU,Mcgill Donte,391,0.564,52.8%,39.1%,53.6%,30.5%,39.6%,46.5%,18.1%,21.2%,42.2%,80.0%,27.6%,79.6%,
FIU,Diaz Adrian,277,0.651,65.0%,75.5%,76.6%,54.4%,24.5%,29.4%,45.0%,0.0%,---,---,74.4%,62.1%,
FIU,Stephen Elmo,146,0.536,52.1%,21.2%,58.1%,22.2%,9.6%,7.1%,0.0%,69.2%,37.6%,92.1%,26.0%,63.2%,
FIU,Boswell Jason,140,0.514,48.9%,30.7%,48.8%,33.3%,23.6%,39.4%,46.2%,45.7%,35.9%,91.3%,25.0%,68.6%,
FIU,Williams Kimar,114,0.424,37.3%,64.9%,40.5%,30.0%,20.2%,34.8%,0.0%,14.9%,17.6%,66.7%,55.3%,58.7%,
